lam,LB,n1,fold,window,min_n1,failed
0.3,252,0.2,2,5,0.0399499240316474,False
0.3,252,0.2,2,6,0.04672601231659045,False
0.3,252,0.2,2,7,0.05124539233350742,False
0.3,252,0.2,2,8,0.035897476778129996,False
0.3,252,0.2,2,9,0.04977402522878405,False
0.3,252,0.2,2,10,0.04108524189117922,False
0.3,252,0.2,2,11,0.05592587602474418,False
0.3,252,0.2,2,12,0.034296298385930575,False
0.3,252,0.2,3,0,0.09088821002525035,False
0.3,252,0.2,3,1,0.08419029154525128,False
0.3,252,0.2,3,2,0.08600191990721892,False
0.3,252,0.2,3,3,0.15059590603785375,False
0.3,252,0.2,3,4,0.16938851757043308,False
0.3,252,0.2,3,5,0.23885292408323755,True
0.3,252,0.2,3,6,0.11798403399518646,False
0.3,252,0.2,3,7,0.16376114874035325,False
0.3,252,0.2,3,8,0.14962406391057706,False
0.3,252,0.2,3,9,0.2040205280323987,True
0.3,252,0.2,3,10,0.17880159625315298,False
0.3,252,0.2,3,11,0.1859699344405118,False
0.3,252,0.2,3,12,0.17437814253870096,False
0.3,252,0.2,4,0,0.6027430474243626,True
0.3,252,0.2,4,1,0.3854363972249466,True
0.3,252,0.2,4,2,0.27719747116214155,True
0.3,252,0.2,4,3,0.13281358773943258,False
0.3,252,0.2,4,4,0.2863006749253344,True
0.3,252,0.2,4,5,0.19772003134834717,False
0.3,252,0.2,4,6,0.23105763159907544,True
0.3,252,0.2,4,7,0.1689600004292627,False
0.3,252,0.2,4,8,0.21507515003144687,True
0.3,252,0.2,4,9,0.1758141149577049,False
0.3,252,0.2,4,10,0.10761862439559634,False
0.3,252,0.2,4,11,0.16288192718079247,False
0.3,252,0.2,4,12,0.20803675338072522,True
0.3,252,0.2,5,0,0.038555397171242144,False
0.3,252,0.2,5,1,0.052798545683579196,False
0.3,252,0.2,5,2,0.04088484522793125,False
0.3,252,0.2,5,3,0.04713368911940098,False
0.3,252,0.2,5,4,0.05460442134019199,False
0.3,252,0.2,5,5,0.05371155035524088,False
0.3,252,0.2,5,6,0.04107154335404257,False
0.3,252,0.2,5,7,0.05805024604391585,False
0.3,252,0.2,5,8,0.05924088931595076,False
0.3,252,0.2,5,9,0.05245326119139769,False
0.3,252,0.2,5,10,0.02947626149951179,False
0.3,252,0.2,5,11,0.04009631865642874,False
0.3,252,0.2,6,0,0.09068369115644717,False
0.3,252,0.2,6,1,0.0846800769703115,False
0.3,252,0.2,6,2,0.13459863625855023,False
0.3,252,0.2,6,3,0.11874214825799585,False
0.3,252,0.2,6,4,0.08632310232818777,False
0.3,252,0.2,6,5,0.10121108488477563,False
0.3,252,0.2,6,6,0.10656009889851087,False
0.3,252,0.2,6,7,0.12353580440504136,False
0.3,252,0.2,6,8,0.10264476963313501,False
0.3,252,0.2,6,9,0.09575256759023336,False
0.3,252,0.2,6,10,0.06697191178524346,False
0.3,252,0.2,6,11,0.07070251377383557,False
0.3,252,0.2,7,0,0.07482805492486844,False
0.3,252,0.2,7,1,0.0668242659880074,False
0.3,252,0.2,7,2,0.08351484001759173,False
0.3,252,0.2,7,3,0.07358604910383756,False
0.3,252,0.2,7,4,0.05869431227301946,False
0.3,252,0.2,7,5,0.052138392355762196,False
0.3,252,0.2,7,6,0.07543776565214128,False
0.3,252,0.2,7,7,0.06423694307964618,False
0.3,252,0.2,7,8,0.08234149345405956,False
0.3,252,0.2,7,9,0.07398106474279915,False
0.3,252,0.2,7,10,0.09188481489767975,False
0.3,252,0.2,7,11,0.07118595343433932,False
0.3,252,0.2,7,12,0.07032927515581723,False
0.3,252,0.2,8,0,0.13147404397420842,False
0.3,252,0.2,8,1,0.10824174037265731,False
0.3,252,0.2,8,2,0.1618908383683487,False
0.3,252,0.2,8,3,0.12646703911851534,False
0.3,252,0.2,8,4,0.18854040820717613,False
0.3,252,0.2,8,5,0.13789713859596428,False
0.3,252,0.3,1,0,0.05453892109574775,False
0.3,252,0.3,1,1,0.08113854409269083,False
0.3,252,0.3,1,2,0.07849812962163148,False
0.3,252,0.3,1,3,0.09133243773153388,False
0.3,252,0.3,1,4,0.08188759171353065,False
0.3,252,0.3,1,5,0.09451051478268543,False
0.3,252,0.3,1,6,0.09556545720545172,False
0.3,252,0.3,1,7,0.07629615117766372,False
0.3,252,0.3,1,8,0.06305850512509292,False
0.3,252,0.3,1,9,0.07182234780243056,False
0.3,252,0.3,1,10,0.0778076018724894,False
0.3,252,0.3,1,11,0.08116620087308112,False
0.3,252,0.3,2,0,0.10589673018023843,False
0.3,252,0.3,2,1,0.1390998775611738,False
0.3,252,0.3,2,2,0.13351417006164185,False
0.3,252,0.3,2,3,0.11472837879023448,False
0.3,252,0.3,2,4,0.11603492852530899,False
0.3,252,0.3,2,5,0.12409615609225602,False
0.3,252,0.3,2,6,0.12570397475985495,False
0.3,252,0.3,2,7,0.15724933153788476,False
0.3,252,0.3,2,8,0.08738946371908694,False
0.3,252,0.3,2,9,0.21376143298221245,False
0.3,252,0.3,2,10,0.1263954508648402,False
0.3,252,0.3,2,11,0.14049351154689438,False
0.3,252,0.3,2,12,0.10031656298189037,False
0.3,252,0.3,3,0,0.1028145720165844,False
0.3,252,0.3,3,1,0.11616156583570636,False
0.3,252,0.3,3,2,0.10214495941054422,False
0.3,252,0.3,3,3,0.1997570097126311,False
0.3,252,0.3,3,4,0.18753050433423163,False
0.3,252,0.3,3,5,0.5115729177874209,True
0.3,252,0.3,3,6,0.18076039210649372,False
0.3,252,0.3,3,7,0.17600246303541967,False
0.3,252,0.3,3,8,0.18196709614284168,False
0.3,252,0.3,3,9,0.19065278064148608,False
0.3,252,0.3,3,10,0.26171109888172994,False
0.3,252,0.3,3,11,0.24154018098234117,False
0.3,252,0.3,3,12,0.39110813838922515,True
0.3,252,0.3,4,0,0.1396233383375148,False
