N,H,n1,mean_M_real,median_M_real,p90_M_real,violation_rate,windows
30,126,0.1,0.041184786665055186,0.029734047129750252,0.07777247428894042,0.06382978723404255,752
30,126,0.2,0.04307814977042615,0.03088343422859907,0.08168011680245399,0.010638297872340425,752
30,126,0.3,0.04495232815772513,0.033022573217749596,0.08667088076472279,0.003989361702127659,752
30,126,0.4,0.044396386655825286,0.03241637162864208,0.08165696337819098,0.0013297872340425532,752
30,252,0.1,0.04118488241393847,0.030876399949193,0.07920768857002258,0.05316091954022988,696
30,252,0.2,0.04252326798868826,0.03135785087943077,0.08084163814783096,0.01293103448275862,696
30,252,0.3,0.044006642465005984,0.03135130926966667,0.08292261883616447,0.005747126436781609,696
30,252,0.4,0.04547500552511881,0.033249394968152046,0.09045680239796638,0.0014367816091954023,696
