H,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
126,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.05,0.498,3.43,52.69,67.38,0.1718,0.8616,0.0418
126,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",9.29,0.5097,3.39,51.06,63.74,0.182,0.8801,0.0395
126,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.56,0.4764,3.47,43.91,50.09,0.1949,0.8809,0.0545
126,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",7.38,0.4324,3.37,47.56,55.8,0.1551,0.8878,0.0383
126,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",2.37,0.2188,3.82,69.93,109.03,0.0339,0.85,0.0548
126,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",-3.62,-0.0059,4.26,81.84,152.96,-0.0442,0.9011,0.0479
126,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",-0.1,0.1186,3.89,74.87,125.34,-0.0013,0.818,0.0558
126,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",-0.25,0.1198,3.97,75.44,127.12,-0.0033,0.8404,0.0559
126,20,PTO-MVO,PTO-MVO (LB=252),6.18,0.4337,2.54,37.79,41.0,0.1635,0.1223,0.1354
126,20,PTO-MVO,PTO-MVO (LB=504),5.72,0.4049,2.56,38.9,42.51,0.1472,0.1188,0.0852
126,20,DFL-MVO,DFL-MVO (LB=252),7.36,0.4162,3.35,47.76,56.78,0.154,1.0,0.5591
126,20,DFL-MVO,DFL-MVO (LB=504),11.07,0.5712,3.29,27.71,29.76,0.3993,1.0,1.0323
126,20,Benchmark,EW,9.94,0.5477,3.14,42.39,47.68,0.2345,0.0333,0.0367
126,20,Benchmark,GMV (LB=252),6.84,0.4772,2.5,35.46,38.39,0.193,0.1123,0.1352
126,20,Benchmark,hist-MVO (LB=252),11.75,0.6742,2.88,35.37,38.42,0.3321,0.1718,0.4051
126,20,Benchmark,GMV (LB=504),6.2,0.4361,2.53,36.35,39.43,0.1706,0.1137,0.0841
126,20,Benchmark,hist-MVO (LB=504),7.97,0.5058,2.78,34.73,37.73,0.2294,0.1423,0.2351
126,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",5.32,0.3531,3.04,44.31,49.34,0.1202,0.2406,0.8382
126,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",4.64,0.3215,3.2,36.15,41.13,0.1285,0.3718,0.9018
126,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",9.49,0.5037,3.26,41.16,44.48,0.2305,0.4301,0.9546
126,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",3.04,0.2461,3.18,34.53,38.17,0.088,0.6412,0.855
126,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",6.61,0.4096,3.06,47.31,55.54,0.1397,0.2229,0.9097
126,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",6.25,0.378,3.4,40.92,45.98,0.1527,0.3533,0.9737
126,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",2.75,0.2334,3.39,40.13,47.16,0.0685,0.4493,1.0193
126,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",6.71,0.3845,3.58,38.04,42.22,0.1763,0.5669,0.9444
126,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",8.94,0.4936,3.43,52.91,67.87,0.169,0.8616,0.0418
126,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",9.19,0.5055,3.39,51.29,64.24,0.1791,0.8801,0.0395
126,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.42,0.4706,3.47,44.17,50.57,0.1905,0.8809,0.0545
126,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",7.28,0.4283,3.37,47.75,56.17,0.1525,0.8878,0.0383
126,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",2.24,0.2136,3.82,70.03,109.4,0.0319,0.85,0.0548
126,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",-3.73,-0.0102,4.26,81.89,153.21,-0.0455,0.9011,0.0479
126,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",-0.23,0.1131,3.89,74.97,125.74,-0.0031,0.818,0.0558
126,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",-0.38,0.1147,3.97,75.52,127.42,-0.0051,0.8404,0.0559
126,40,PTO-MVO,PTO-MVO (LB=252),5.84,0.4151,2.54,37.86,41.09,0.1542,0.1223,0.1354
126,40,PTO-MVO,PTO-MVO (LB=504),5.51,0.3934,2.56,38.93,42.56,0.1415,0.1188,0.0852
126,40,DFL-MVO,DFL-MVO (LB=252),5.93,0.3603,3.36,47.97,57.18,0.1237,1.0,0.5591
126,40,DFL-MVO,DFL-MVO (LB=504),8.36,0.4635,3.32,28.29,30.45,0.2955,1.0,1.0323
126,40,Benchmark,EW,9.84,0.5437,3.14,42.41,47.7,0.2321,0.0333,0.0367
126,40,Benchmark,GMV (LB=252),6.5,0.4582,2.5,35.49,38.41,0.1832,0.1123,0.1352
126,40,Benchmark,hist-MVO (LB=252),10.67,0.6241,2.89,35.43,38.48,0.3012,0.1718,0.4051
126,40,Benchmark,GMV (LB=504),5.99,0.4245,2.53,36.37,39.44,0.1647,0.1137,0.0841
126,40,Benchmark,hist-MVO (LB=504),7.37,0.4757,2.79,34.77,37.76,0.2118,0.1423,0.2351
