N,H,group,blocks,mean_n1=0.1,mean_n1=0.2,mean_n1=0.3,mean_n1=0.4,Page_L,Page_z,Page_p,d(0.2-0.1),t(0.2>0.1),p_t(0.2>0.1),p_W(0.2>0.1),win%(0.2>0.1),d(0.3-0.2),t(0.3>0.2),p_t(0.3>0.2),p_W(0.3>0.2),win%(0.3>0.2),d(0.4-0.3),t(0.4>0.3),p_t(0.4>0.3),p_W(0.4>0.3),win%(0.4>0.3),d(0.4-0.1),t(0.4>0.1),p_t(0.4>0.1),p_W(0.4>0.1),win%(0.4>0.1)
30,126,"30 inds, H=126",665,0.04097626701669586,0.04357659023857318,0.04530567935758963,0.04457737008823936,17009.5,5.165069200855306,1.2017499233726644e-07,0.0026003232218773293,3.501817188447589,0.00024652973607993707,0.00020876159246289178,54.13533834586466,0.001729089119016452,2.025531440632368,0.021606154183804255,0.011950377629016535,53.23308270676692,-0.0007283092693502742,-0.6893162043742421,0.7545674457053391,0.364010120918521,53.23308270676692,0.0036011030715435073,4.156875566628006,1.824459661032992e-05,1.5015975406438704e-05,57.89473684210527
30,252,"30 inds, H=252",561,0.04022103378843058,0.04227742580647137,0.043403144655649595,0.04412860261009086,14364.0,4.958027035581946,3.560632771189316e-07,0.0020563920180407917,3.3249934994871664,0.00047103051195086337,0.00014213919377010714,56.50623885918004,0.0011257188491782244,1.5484895983951548,0.06103469299307047,0.15836610568490012,50.08912655971479,0.0007254579544412686,0.8092007920124993,0.20937166459011547,0.2805383966866841,51.15864527629233,0.003907568821660284,4.556618595477691,3.1928174703479486e-06,8.652382818876344e-07,58.64527629233511
