H,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
252,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",7.34,0.4736,2.68,33.2,35.62,0.221,0.2027,0.6624
252,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.49,0.4875,2.64,33.82,37.32,0.2214,0.29,0.7733
252,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",7.87,0.4709,3.04,35.37,38.17,0.2225,0.317,0.8396
252,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",6.21,0.3962,2.98,39.38,45.45,0.1576,0.4488,0.8941
252,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",7.91,0.489,2.85,43.0,47.82,0.184,0.1683,0.7845
252,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",6.62,0.4559,2.55,28.61,30.74,0.2312,0.2851,0.7649
252,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",10.43,0.6353,2.59,31.79,34.51,0.3282,0.337,0.9051
252,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",11.33,0.6627,2.78,32.92,35.82,0.344,0.3748,1.0002
252,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-0.99,0.0868,3.89,71.75,114.82,-0.0137,0.8996,0.0243
252,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",3.99,0.2841,3.67,60.49,84.42,0.066,0.9263,0.0251
252,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",3.58,0.2674,3.68,62.01,88.02,0.0577,0.9015,0.0305
252,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.25,0.1137,3.86,70.45,110.96,-0.0035,0.9377,0.0243
252,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",-9.71,-0.1328,5.12,87.93,183.7,-0.1105,0.9443,0.027
252,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",-8.9,-0.0797,5.39,88.33,186.66,-0.1007,0.9628,0.0265
252,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",-9.18,-0.0931,5.34,88.33,186.26,-0.1039,0.9569,0.0268
252,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",-9.63,-0.1157,5.25,88.33,185.66,-0.1091,0.9496,0.0272
252,0,PTO-MVO,PTO-MVO (LB=252),5.63,0.403,2.54,37.65,40.84,0.1496,0.1225,0.1347
252,0,PTO-MVO,PTO-MVO (LB=504),4.67,0.3464,2.59,39.25,42.97,0.1189,0.1216,0.0823
252,0,DFL-MVO,DFL-MVO (LB=252),12.75,0.6427,3.29,43.64,49.5,0.292,1.0,0.4651
252,0,DFL-MVO,DFL-MVO (LB=504),12.46,0.5481,4.18,50.49,59.87,0.2468,0.997,0.8297
252,0,Benchmark,EW,9.58,0.532,3.15,42.38,47.66,0.2261,0.0333,0.0362
252,0,Benchmark,GMV (LB=252),6.39,0.4509,2.51,35.43,38.36,0.1804,0.1154,0.1335
252,0,Benchmark,hist-MVO (LB=252),10.74,0.6237,2.91,35.3,38.35,0.3041,0.1667,0.4157
252,0,Benchmark,GMV (LB=504),5.46,0.394,2.55,36.33,39.41,0.1502,0.1171,0.0833
252,0,Benchmark,hist-MVO (LB=504),6.94,0.4537,2.81,34.7,37.69,0.2001,0.1419,0.2349
252,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",6.91,0.4526,2.68,33.22,35.64,0.2082,0.2027,0.6624
252,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.0,0.4624,2.65,33.96,37.51,0.206,0.29,0.7733
252,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",7.33,0.4467,3.04,35.39,38.19,0.2072,0.317,0.8396
252,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",5.64,0.3703,2.98,39.62,45.66,0.1425,0.4488,0.8941
252,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",7.41,0.4652,2.85,43.11,47.98,0.1719,0.1683,0.7845
252,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",6.13,0.4299,2.55,28.65,30.78,0.2141,0.2851,0.7649
252,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",9.84,0.6059,2.59,31.84,34.57,0.3091,0.337,0.9051
