λ,LB,n1,tc_bps,label,Ann.Ret,Sharpe,CVaR(5%),MDD,MDD_abs,Calmar,HHI,Turnover
0.3,252,0.1,0,"DFL-MDD (LB=252, n1=0.1)",0.05601491026878791,0.3878943988962944,0.026925724142378718,0.3182720664344537,0.3424991347174338,0.17599694148064407,0.2863348301509092,0.7949191770266691
0.3,252,0.1,5,"DFL-MDD (LB=252, n1=0.1)",0.05104239667801447,0.3623006015380387,0.026937827872584,0.3184430082736806,0.3426611691854047,0.16028738372587592,0.2863348301509092,0.7949191770266691
0.3,252,0.1,10,"DFL-MDD (LB=252, n1=0.1)",0.046090996990968414,0.3366835194415882,0.026954467419379145,0.31861395011290305,0.3428232036533756,0.1446609508471605,0.2863348301509092,0.7949191770266691
0.3,252,0.1,20,"DFL-MDD (LB=252, n1=0.1)",0.036251218974029165,0.28539860775041526,0.026997186026632623,0.3189558337913342,0.34314727258931743,0.11365592073283624,0.2863348301509092,0.7949191770266691
0.3,252,0.1,40,"DFL-MDD (LB=252, n1=0.1)",0.01682152091968847,0.18275979578389928,0.02708262324112864,0.32160002846454516,0.34610629190899467,0.052305719606963244,0.2863348301509092,0.7949191770266691
0.3,252,0.2,0,"DFL-MDD (LB=252, n1=0.2)",0.08386548134204252,0.5067487554562159,0.02748837578414672,0.397605686111655,0.4267952406270452,0.21092626250168597,0.4073726559397816,0.8079632149289734
0.3,252,0.2,5,"DFL-MDD (LB=252, n1=0.2)",0.07867822616777254,0.48247082688243137,0.027507018791526002,0.39797626928577395,0.42714789818823073,0.1976957728891786,0.4073726559397816,0.8079632149289734
0.3,252,0.2,10,"DFL-MDD (LB=252, n1=0.2)",0.07351329020601094,0.4581596504949909,0.027525661798904668,0.39834685245989016,0.4275005557494165,0.1845459295927497,0.4073726559397816,0.8079632149289734
0.3,252,0.2,20,"DFL-MDD (LB=252, n1=0.2)",0.06325003373902138,0.4094543632779914,0.02756294781366015,0.3990880188081132,0.4282058708717882,0.15848642590692305,0.4073726559397816,0.8079632149289734
0.3,252,0.2,40,"DFL-MDD (LB=252, n1=0.2)",0.042987603541558395,0.3118304300042547,0.027643961923981972,0.4005703515045213,0.42961650111653105,0.10731598923726532,0.4073726559397816,0.8079632149289734
0.3,252,0.3,0,"DFL-MDD (LB=252, n1=0.3)",0.08021003022522155,0.4850444490211972,0.0281189902381602,0.39088963393838294,0.4198747817477526,0.20519866284646837,0.5837814273994999,0.7353064088919029
0.3,252,0.3,5,"DFL-MDD (LB=252, n1=0.3)",0.07550397526312702,0.4632281556808587,0.028139235774590047,0.39115922740414905,0.42012561439762586,0.19302618973069258,0.5837814273994999,0.7353064088919029
0.3,252,0.3,10,"DFL-MDD (LB=252, n1=0.3)",0.07081579736259225,0.4413914379299066,0.028166160161021192,0.3914288208699136,0.42037644704749944,0.18091615529770957,0.5837814273994999,0.7353064088919029
0.3,252,0.3,20,"DFL-MDD (LB=252, n1=0.3)",0.0614928383148694,0.39767222608648206,0.02822122141163597,0.3934147831178569,0.4237789425491667,0.15630535744463167,0.5837814273994999,0.7353064088919029
