Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,MDD_abs,Turnover,HHI
DFL-MDD,0.7,252.0,0.1,0.09066947571501283,0.5924789238148284,0.024915887301326958,0.3227469711206547,0.28093052390884926,0.3510150902421415,0.5206041178709996,0.33406186052547654
DFL-MDD,0.7,252.0,0.2,0.055021441338931165,0.3831039587560597,0.027270560399227504,0.36440994222201173,0.150987761169017,0.3977429795991655,0.5022343279070618,0.47964729138098794
DFL-MDD,0.7,252.0,0.3,0.07067541213787676,0.4657263487028038,0.027180203927856517,0.2945836709167064,0.23991625840615116,0.31964981386435265,0.4882311826180758,0.5473820697324588
DFL-MDD,0.7,252.0,0.4,0.09533723305065478,0.6133668107076777,0.02602063471917967,0.2610328907760262,0.3652307290882122,0.27973682927281396,0.7167621081159328,0.499527447729307
DFL-MDD,0.7,504.0,0.1,0.10223394050527124,0.614913374890597,0.026974478425465125,0.3352215111299392,0.30497428440726077,0.3631908157460737,0.6115252806175335,0.324496667321189
DFL-MDD,0.7,504.0,0.2,0.11248455528829493,0.6795391834501282,0.027050271117889664,0.3248147408400791,0.3463037267420254,0.3554938378104775,0.7292733497720443,0.39071840962595505
DFL-MDD,0.7,504.0,0.3,0.08788318408025897,0.5533773635929893,0.02693969988570239,0.3269314783682378,0.26881224314041396,0.3529952688734793,0.6998637611238356,0.44888198038764543
DFL-MDD,0.7,504.0,0.4,0.0693167464478106,0.43744785242822226,0.029868967894308686,0.3595620857504239,0.19278102218109291,0.3869543995597884,0.7623370880071706,0.5407766787668036
EW,,,,0.11874921933835547,0.6531089470099436,0.03021483697509854,0.3873022602070385,0.3066060581320016,0.42740673193054013,0.03271951540940811,0.10000000149011612
GMV,,252.0,,0.07863347463698722,0.5241133842659275,0.025599058421061287,0.34810842113513635,0.22588788388969414,0.3783211376342458,0.07974990491813176,0.17923854006097673
hist-MVO,,252.0,,0.11318172175554575,0.6724255991841879,0.02769311438168591,0.3362990426635082,0.3365508293615253,0.3671303339094929,0.27007593876871644,0.2260606552058078
GMV,,504.0,,0.06378076518212583,0.43706378368469573,0.02613895916159621,0.3614555702316949,0.17645533896073726,0.39304008479711594,0.05312191108785792,0.18376231304508575
hist-MVO,,504.0,,0.07631436604351904,0.48869551298214325,0.027552498352509492,0.3361603406856902,0.22701775547095598,0.36451465738974687,0.14947871575919605,0.1978982168626278
DFL-MVO,,252.0,,0.06832561065705889,0.4000779849545061,0.03349712273880983,0.4094917412477226,0.16685467314233268,0.4425000008198232,0.47311827978225973,1.0
DFL-MVO,,504.0,,0.09185245365077699,0.521760356297996,0.031224263287304807,0.4363807119460195,0.21048696955490204,0.48887269447758563,0.2580645170796206,1.0
PTO-MDD,,252.0,0.1,0.004110956143534628,0.16887181518558883,0.042487689667459735,0.7747392737463933,0.00530624467135211,1.1635000003107459,0.07579546186238444,0.713143602718425
PTO-MDD,,252.0,0.2,0.016039257182468347,0.20993934745762646,0.044274129771902565,0.7747392736830536,0.02070278056790463,1.1635000002033011,0.07066898440724936,0.8026470483610155
PTO-MDD,,252.0,0.3,-0.005644771186763764,0.1384572648031396,0.04229847271816427,0.774739273389166,-0.007286026899529188,1.163499998933533,0.08475818737905157,0.726321283805387
PTO-MDD,,252.0,0.4,-0.002251954107892029,0.15220596032916936,0.04382285397422147,0.7747392735837823,-0.0029067251195157395,1.163499999820811,0.08924488525799841,0.7347376227274249
PTO-MDD,,504.0,0.1,0.06038103161619035,0.3416099664700336,0.04576121566456075,0.7747392737454031,0.07793722824517504,1.1635000002756721,0.0815626053157835,0.7401560123143541
PTO-MDD,,504.0,0.2,0.02400034077084956,0.23852391988016544,0.0466994279771535,0.7747392735509665,0.030978603495531748,1.163499999725279,0.08846206504715202,0.8188428518908684
PTO-MDD,,504.0,0.3,0.029516171225220322,0.25452970532575786,0.04660365176241368,0.7747392729867425,0.03809819929177075,1.1634999982645358,0.09518945292700208,0.8231323508516961
PTO-MDD,,504.0,0.4,0.019396564197657673,0.2226183189486227,0.04509016256380819,0.7747392733777799,0.025036247498577312,1.1634999992120636,0.08820573247164605,0.7292305238206224
PTO-MVO,,252.0,,0.07511487441480402,0.5028743145946836,0.025655103723753413,0.35967878457241986,0.2088387684116967,0.3912777072176338,0.08029541064743953,0.18587238295080472
PTO-MVO,,504.0,,0.058092029484033914,0.40490067100999916,0.026291282141249924,0.3724054953630574,0.15599133254411557,0.40520367802341484,0.0543828499852245,0.18504625920509057
