Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,MDD_abs,Turnover,HHI
DFL-MDD,0.5,252.0,0.1,0.05258060695661859,0.3885330250714388,0.024564214975269987,0.3146873214502984,0.16708841874398273,0.33346500708532767,0.5163032177438475,0.34115882624429406
DFL-MDD,0.5,252.0,0.2,0.05325767370910439,0.3790992333213698,0.026107340784435794,0.33307593026400584,0.15989649462481764,0.3624732052332278,0.5536151082228832,0.4311535857270473
DFL-MDD,0.5,252.0,0.3,-0.005417857798131753,0.07236901236003056,0.030225098222742417,0.4611889802704904,-0.011747587277084082,0.5630567784703849,0.6561423631892469,0.518095156180107
DFL-MDD,0.5,252.0,0.4,0.03110950548377356,0.26475488169298417,0.024469547203413333,0.33470729981306785,0.09294540481146811,0.36031970674054425,0.43281522756958174,0.7309656131932337
DFL-MDD,0.5,504.0,0.1,0.04060890459624211,0.3088638116290832,0.026643715125960504,0.39598759800397104,0.10255095056178952,0.42728291847336053,0.5517676517574097,0.30292434338361746
DFL-MDD,0.5,504.0,0.2,0.046228346870088144,0.34161014275188994,0.025033569814218146,0.3642800717469365,0.12690330996067337,0.391908987289623,0.6404922021844023,0.46615769133197116
DFL-MDD,0.5,504.0,0.3,-0.009643654339549612,0.03554697192854492,0.02604202967170053,0.3418607747598543,-0.02820930346133751,0.3617669585020058,0.6389393386072484,0.5345547740299905
DFL-MDD,0.5,504.0,0.4,0.042894628482355035,0.3092358855324022,0.029212599930678047,0.4256912278058991,0.10076465210092861,0.4624648337228554,0.6747490469437878,0.5012993932484157
EW,,,,0.11722906489484952,0.6464501009543407,0.03021939193153672,0.38735692870299865,0.3026383580051299,0.4274538526905862,0.03271951540940811,0.10000000149011612
GMV,,252.0,,0.07506360250481081,0.5050522413422935,0.02560656961659707,0.3484195455801729,0.2154402743344211,0.37863132641576247,0.07974990491813176,0.17923854006097673
hist-MVO,,252.0,,0.10074904044519761,0.6117567451716414,0.027729564746489833,0.33711726020601906,0.2988545895091293,0.36791625900349023,0.27007593876871644,0.2260606552058078
GMV,,504.0,,0.06143437029521648,0.424705014914069,0.026142930812064116,0.36165626593741884,0.1698695033500682,0.3932470422623291,0.05312191108785792,0.18376231304508575
hist-MVO,,504.0,,0.06964618586691507,0.45533029637509814,0.027567168793554,0.3366378919614154,0.2068875415076832,0.36498136520685076,0.14947871575919605,0.1978982168626278
DFL-MVO,,252.0,,0.0735828178295812,0.45545627697842783,0.028433207813190413,0.34360376140918436,0.21415021042374233,0.3962983962874934,0.47311828024426306,1.0
DFL-MVO,,504.0,,0.08591238196359718,0.4831481786448584,0.03220472844182539,0.42380929989572,0.20271471618122772,0.4683999940755197,0.516129032698229,1.0
PTO-MDD,,252.0,0.1,0.0009482999005550052,0.15878741955713543,0.0424894439955958,0.7747392737535196,0.0012240245622739667,1.1635000003410572,0.07579546186238444,0.713143602718425
PTO-MDD,,252.0,0.2,0.013054013383156038,0.20082619078447844,0.044275068136342945,0.774739273750041,0.016849556778352738,1.163500000504206,0.07066898440724936,0.8026470483610155
PTO-MDD,,252.0,0.3,-0.009147749826005414,0.12724935543206656,0.04231322586267164,0.7747392734181128,-0.011807520463581541,1.1634999990565054,0.08475818737905157,0.726321283805387
PTO-MDD,,252.0,0.4,-0.005952902476226485,0.14060949542307538,0.043830064852950074,0.7747392735894042,-0.0076837494604836895,1.1634999998446203,0.08924488525799841,0.7347376227274249
PTO-MDD,,504.0,0.1,0.056785181255484485,0.3314977902188438,0.04576248878196783,0.7747392737479979,0.07329585987482236,1.1635000002869174,0.0815626053157835,0.7401560123143541
PTO-MDD,,504.0,0.2,0.02023405513231813,0.22766607269617445,0.046702274334009204,0.7747392735912942,0.026117244625939375,1.1634999999012363,0.08846206504715202,0.8188428518908684
PTO-MDD,,504.0,0.3,0.02544096430232412,0.24286491482466147,0.04660455485050663,0.7747392729963841,0.032838098165134645,1.1634999982994936,0.09518945292700208,0.8231323508516961
PTO-MDD,,504.0,0.4,0.01565876797546828,0.21152912117680692,0.04509106380662059,0.7747392733840637,0.020211661537499658,1.1634999992381072,0.08820573247164605,0.7292305238206224
PTO-MVO,,252.0,,0.07153227069500434,0.48380612024824904,0.02566423735417921,0.35994234492179356,0.19873257949317757,0.39153585225066345,0.08029541064743953,0.18587238295080472
PTO-MVO,,504.0,,0.05570280944520345,0.3923445118976259,0.026294766326701552,0.3725672831501694,0.1495107379243508,0.4053660906387302,0.0543828499852245,0.18504625920509057
