lam,LB,n1,tc_bps,label,Ann.Ret,Sharpe,CVaR(5%),MDD,MDD_abs,Calmar,HHI,Turnover
0.3,252,0.1,0,"DFL-MDD (LB=252, n1=0.1)",0.09936462168580018,0.6454032349815145,0.02454423909052554,0.3205729500112671,0.34463084740968086,0.309959469915699,0.4064558486839967,0.46638026691985374
0.3,252,0.1,5,"DFL-MDD (LB=252, n1=0.1)",0.09632474708254457,0.6290209452355842,0.024554087172985368,0.32069295778131274,0.3447451194614841,0.3003643975188067,0.4064558486839967,0.46638026691985374
0.3,252,0.1,10,"DFL-MDD (LB=252, n1=0.1)",0.09329232230826423,0.6126198601349823,0.024563935255444983,0.3208129655513568,0.34485939151328715,0.290799725375344,0.4064558486839967,0.46638026691985374
0.3,252,0.1,20,"DFL-MDD (LB=252, n1=0.1)",0.0872497582556655,0.5797671320440144,0.024583631420363624,0.3210529810914404,0.34508793561689355,0.271761246171514,0.4064558486839967,0.46638026691985374
0.3,252,0.1,40,"DFL-MDD (LB=252, n1=0.1)",0.0752533258598942,0.5139004519156168,0.0246230237501984,0.3215330121715896,0.345545023824106,0.2340454105419505,0.4064558486839967,0.46638026691985374
0.3,252,0.2,0,"DFL-MDD (LB=252, n1=0.2)",0.08493047204193971,0.5466372173322993,0.025597440146828444,0.34880796323716257,0.376176597467303,0.24348776681983245,0.5872905890306446,0.5515557192285109
0.3,252,0.2,5,"DFL-MDD (LB=252, n1=0.2)",0.08138324633332505,0.5282755188227367,0.025602570915740055,0.3489023265129439,0.37626597210381596,0.23325509784750695,0.5872905890306446,0.5515557192285109
0.3,252,0.2,10,"DFL-MDD (LB=252, n1=0.2)",0.0778459572365906,0.5098881487186122,0.025608369629727006,0.34899668978872345,0.37635534674032867,0.2230564343215162,0.5872905890306446,0.5515557192285109
0.3,252,0.2,20,"DFL-MDD (LB=252, n1=0.2)",0.07080109418740488,0.4730468303514198,0.025634584831189133,0.3491854163402772,0.3765340960133542,0.2027607421557776,0.5872905890306446,0.5515557192285109
0.3,252,0.2,40,"DFL-MDD (LB=252, n1=0.2)",0.05682956847971132,0.3991713578175031,0.02569568479254821,0.3495628694433637,0.37689159455940535,0.1625732405559783,0.5872905890306446,0.5515557192285109
0.3,252,0.3,0,"DFL-MDD (LB=252, n1=0.3)",0.06960702398154006,0.45842494334189504,0.026155018641620724,0.3646422262563352,0.3924826002714953,0.19089128726830112,0.6215289155347422,0.5570933344465933
0.3,252,0.3,5,"DFL-MDD (LB=252, n1=0.3)",0.06607487904192078,0.4404513031439452,0.026164382526234913,0.36492587979649943,0.3927850280432815,0.18106383427961037,0.6215289155347422,0.5570933344465933
0.3,252,0.3,10,"DFL-MDD (LB=252, n1=0.3)",0.06255281047477634,0.42245356275466783,0.02617374641084873,0.36520953333666156,0.3930874558150679,0.17127923766432812,0.6215289155347422,0.5570933344465933
0.3,252,0.3,20,"DFL-MDD (LB=252, n1=0.3)",0.05553880402391642,0.38639506796016926,0.026192474180075198,0.3657768404169793,0.39369231135864036,0.15183794563214922,0.6215289155347422,0.5570933344465933
0.3,252,0.3,40,"DFL-MDD (LB=252, n1=0.3)",0.04163062766420356,0.31409149453948226,0.0262319237689123,0.3669114545775873,0.39490202244578565,0.11346232758196458,0.6215289155347422,0.5570933344465933
0.3,252,0.4,0,"DFL-MDD (LB=252, n1=0.4)",0.051036447855695055,0.3703870704573063,0.02591481572785404,0.33434897181553885,0.36039999999345124,0.15264424939995797,0.8149439440164677,0.32407508742681024
0.3,252,0.4,5,"DFL-MDD (LB=252, n1=0.4)",0.04901596667179464,0.3594950669546446,0.025915664736321866,0.3343489718156503,0.3603999999936016,0.14660121845435314,0.8149439440164677,0.32407508742681024
0.3,252,0.4,10,"DFL-MDD (LB=252, n1=0.4)",0.04699841497354895,0.34859307880887136,0.025916513744789607,0.33434897181576145,0.36039999999375194,0.1405669492693703,0.8149439440164677,0.32407508742681024
0.3,252,0.4,20,"DFL-MDD (LB=252, n1=0.4)",0.04297208708462552,0.3267629056877201,0.025918211761724763,0.3343489718159844,0.3603999999940527,0.12852465745108854,0.8149439440164677,0.32407508742681024
0.3,252,0.4,40,"DFL-MDD (LB=252, n1=0.4)",0.03495444283525839,0.28302416608341946,0.025935762193150982,0.3343489718164301,0.3603999999946541,0.10454478934062698,0.8149439440164677,0.32407508742681024
0.3,504,0.1,0,"DFL-MDD (LB=504, n1=0.1)",0.07585098556235104,0.4960710690657552,0.02577327734972503,0.3766334412138738,0.40628852857990483,0.20139206252569414,0.3895375473665974,0.5364966082760735
0.3,504,0.1,5,"DFL-MDD (LB=504, n1=0.1)",0.0724295669382482,0.47844115106796464,0.02578354222519506,0.37692716366668083,0.4065721946602753,0.19215799204931366,0.3895375473665974,0.5364966082760735
0.3,504,0.1,10,"DFL-MDD (LB=504, n1=0.1)",0.06901789559778693,0.46079226913138416,0.025793807100664742,0.3772208861194858,0.4068558607406455,0.18296414148613419,0.3895375473665974,0.5364966082760735
0.3,504,0.1,20,"DFL-MDD (LB=504, n1=0.1)",0.06222369632275382,0.4254442455981577,0.025825552715452633,0.3778083310250901,0.40742319290138596,0.16469646430891413,0.3895375473665974,0.5364966082760735
0.3,504,0.1,40,"DFL-MDD (LB=504, n1=0.1)",0.04875118532612355,0.3545938599033848,0.02590153636473299,0.3805717343801756,0.4108832603088989,0.12809985847402192,0.3895375473665974,0.5364966082760735
0.3,504,0.2,0,"DFL-MDD (LB=504, n1=0.2)",0.0658801116108989,0.4516920474721076,0.024687667667493984,0.3460170580748616,0.3719695170524352,0.1903955601449164,0.5269344053848878,0.560857253781557
0.3,504,0.2,5,"DFL-MDD (LB=504, n1=0.2)",0.06233670130945579,0.43271634576914386,0.024696543764003574,0.34619185150728643,0.37215347430760215,0.18006403391657344,0.5269344053848878,0.560857253781557
0.3,504,0.2,10,"DFL-MDD (LB=504, n1=0.2)",0.05880381532141654,0.4137226506897173,0.024705419860512872,0.34636664493971,0.3723374315627692,0.16977332016099542,0.5269344053848878,0.560857253781557
0.3,504,0.2,20,"DFL-MDD (LB=504, n1=0.2)",0.051769505805405736,0.3756897482162358,0.0247264826684454,0.3467162318045527,0.37270534607310335,0.14931376451869532,0.5269344053848878,0.560857253781557
0.3,504,0.2,40,"DFL-MDD (LB=504, n1=0.2)",0.037825966792366605,0.2995014091477964,0.024772519781389227,0.34741540553422035,0.3734411750937715,0.10887820798652792,0.5269344053848878,0.560857253781557
0.3,504,0.3,0,"DFL-MDD (LB=504, n1=0.3)",0.052641015861124796,0.389795069656234,0.024426906245247775,0.33337599632123555,0.36268778754082764,0.157902837715438,0.5886395313299827,0.4683772146549018
0.3,504,0.3,5,"DFL-MDD (LB=504, n1=0.3)",0.04971786370707698,0.37323593255250787,0.024434292131622022,0.33408202880554544,0.3636682142977701,0.1488193300009371,0.5886395313299827,0.4683772146549018
0.3,504,0.3,10,"DFL-MDD (LB=504, n1=0.3)",0.04680185353371469,0.35666377018201767,0.024441678017996033,0.3347876123324656,0.3646486410547125,0.13979565490391524,0.5886395313299827,0.4683772146549018
0.3,504,0.3,20,"DFL-MDD (LB=504, n1=0.3)",0.04099119849432542,0.3234867312553759,0.02445644979074327,0.3361974329794086,0.3666094945685975,0.1219259710547625,0.5886395313299827,0.4683772146549018
0.3,504,0.3,40,"DFL-MDD (LB=504, n1=0.3)",0.029454926742091603,0.25704646986641305,0.024485993336234642,0.3390116919026067,0.3705312015963671,0.08688469287916217,0.5886395313299827,0.4683772146549018
