Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,MDD_abs,Turnover,HHI
DFL-MDD,1.0,252.0,0.1,0.055805984850671564,0.37508408939860877,0.028650834541389107,0.4238654428166111,0.13165967120761604,0.4771692095258475,0.6180314423525988,0.304962740064128
DFL-MDD,1.0,252.0,0.2,0.13457973546435187,0.7686268784858481,0.027025035207192124,0.3133318566223075,0.42951181814756895,0.33714781202064004,0.5482965141278465,0.33551202037552863
DFL-MDD,1.0,252.0,0.3,0.11978644842256414,0.6618861140372508,0.02957733675926838,0.26059898136243964,0.4596581604054698,0.2838598111575402,0.7049163424721906,0.48806593860095865
DFL-MDD,1.0,252.0,0.4,0.0681883959675873,0.40475796434404787,0.03359952553062256,0.3455171750329602,0.19735168285439755,0.37761346690310804,0.7295000456008128,0.4755776000780294
DFL-MDD,1.0,504.0,0.1,0.08449267829718643,0.5103267368585808,0.02821728544984591,0.38521329893992523,0.21933998257009613,0.41597731039001606,0.4653400927978075,0.3064318704956315
DFL-MDD,1.0,504.0,0.2,0.07444397084570142,0.4413374070826744,0.031185362457375285,0.4012071296235939,0.18554996990454423,0.44398680949444724,0.6210939906763299,0.3172980001828219
DFL-MDD,1.0,504.0,0.3,0.09911253843048495,0.5150392525282375,0.03347673515809863,0.46139345912950896,0.21481132089734248,0.5041912502877726,0.7975922493479963,0.45208638734305806
DFL-MDD,1.0,504.0,0.4,0.07593094098922193,0.45821344350525517,0.03021009297890429,0.3708073745062358,0.2047719279311901,0.40062799481061706,0.8495760991062471,0.48315705825693445
EW,,,,0.11874921933835547,0.6531089470099436,0.03021483697509854,0.3873022602070385,0.3066060581320016,0.42740673193054013,0.03271951540940811,0.10000000149011612
GMV,,252.0,,0.07863347463698722,0.5241133842659275,0.025599058421061287,0.34810842113513635,0.22588788388969414,0.3783211376342458,0.07974990491813176,0.17923854006097673
hist-MVO,,252.0,,0.11318172175554575,0.6724255991841879,0.02769311438168591,0.3362990426635082,0.3365508293615253,0.3671303339094929,0.27007593876871644,0.2260606552058078
GMV,,504.0,,0.06378076518212583,0.43706378368469573,0.02613895916159621,0.3614555702316949,0.17645533896073726,0.39304008479711594,0.05312191108785792,0.18376231304508575
hist-MVO,,504.0,,0.07631436604351904,0.48869551298214325,0.027552498352509492,0.3361603406856902,0.22701775547095598,0.36451465738974687,0.14947871575919605,0.1978982168626278
DFL-MVO,,252.0,,-0.004079504879750395,0.1306179426693534,0.04655679633956206,0.6038500700662256,-0.006755824137980814,0.7376040029435954,0.5376344089903661,1.0
DFL-MVO,,504.0,,0.12589045582184788,0.5554255619267005,0.042515732769465096,0.44029508975664805,0.2859229156128802,0.48577269694964764,0.5376344090034471,1.0
PTO-MDD,,252.0,0.1,0.004110956143534628,0.16887181518558883,0.042487689667459735,0.7747392737463933,0.00530624467135211,1.1635000003107459,0.07579546186238444,0.713143602718425
PTO-MDD,,252.0,0.2,0.016039257182468347,0.20993934745762646,0.044274129771902565,0.7747392736830536,0.02070278056790463,1.1635000002033011,0.07066898440724936,0.8026470483610155
PTO-MDD,,252.0,0.3,-0.005644771186763764,0.1384572648031396,0.04229847271816427,0.774739273389166,-0.007286026899529188,1.163499998933533,0.08475818737905157,0.726321283805387
PTO-MDD,,252.0,0.4,-0.002251954107892029,0.15220596032916936,0.04382285397422147,0.7747392735837823,-0.0029067251195157395,1.163499999820811,0.08924488525799841,0.7347376227274249
PTO-MDD,,504.0,0.1,0.06038103161619035,0.3416099664700336,0.04576121566456075,0.7747392737454031,0.07793722824517504,1.1635000002756721,0.0815626053157835,0.7401560123143541
PTO-MDD,,504.0,0.2,0.02400034077084956,0.23852391988016544,0.0466994279771535,0.7747392735509665,0.030978603495531748,1.163499999725279,0.08846206504715202,0.8188428518908684
PTO-MDD,,504.0,0.3,0.029516171225220322,0.25452970532575786,0.04660365176241368,0.7747392729867425,0.03809819929177075,1.1634999982645358,0.09518945292700208,0.8231323508516961
PTO-MDD,,504.0,0.4,0.019396564197657673,0.2226183189486227,0.04509016256380819,0.7747392733777799,0.025036247498577312,1.1634999992120636,0.08820573247164605,0.7292305238206224
PTO-MVO,,252.0,,0.07511487441480402,0.5028743145946836,0.025655103723753413,0.35967878457241986,0.2088387684116967,0.3912777072176338,0.08029541064743953,0.18587238295080472
PTO-MVO,,504.0,,0.058092029484033914,0.40490067100999916,0.026291282141249924,0.3724054953630574,0.15599133254411557,0.40520367802341484,0.0543828499852245,0.18504625920509057
