label,HHI,EffN,MaxWeight,AvgMaxWeight,AvgNActive
"DFL-MDD (LB=252, n1=0.1) λ=0.3",0.5173903311225178,1.9327767448425714,1.0,0.6171317828145433,3.7127659574468086
"DFL-MDD (LB=252, n1=0.2) λ=0.3",0.5973042226940533,1.674188733321935,1.0,0.6986038757765547,3.1808510638297873
"DFL-MDD (LB=252, n1=0.3) λ=0.3",0.6289377688667871,1.589982426722104,1.0,0.7288886502068094,2.6702127659574466
"DFL-MDD (LB=252, n1=0.4) λ=0.3",0.7843806100992743,1.2748912799787797,1.0,0.8454752986101394,1.8617021276595744
"DFL-MDD (LB=504, n1=0.1) λ=0.3",0.47174472484923,2.119790529336816,0.9998736381530762,0.580692524288563,4.117021276595745
"DFL-MDD (LB=504, n1=0.2) λ=0.3",0.5591808653759615,1.7883301484711156,1.0,0.664452462437305,2.9574468085106385
"DFL-MDD (LB=504, n1=0.3) λ=0.3",0.6139438374684358,1.6288134825547658,1.0,0.7093911468982697,2.893617021276596
"DFL-MDD (LB=504, n1=0.4) λ=0.3",0.6815479618571672,1.4672481702902829,1.0,0.7676708828261558,2.202127659574468
"DFL-MDD (LB=252, n1=0.1) λ=0.5",0.43276258207087975,2.3107358201227655,0.9999983906745911,0.548484999131649,4.01063829787234
"DFL-MDD (LB=252, n1=0.2) λ=0.5",0.5093144200709147,1.963423693876102,0.9833598732948303,0.6257473398396309,3.393617021276596
"DFL-MDD (LB=252, n1=0.3) λ=0.5",0.6190377107328499,1.6154104712233874,1.0,0.7101317238300404,2.8085106382978724
"DFL-MDD (LB=252, n1=0.4) λ=0.5",0.6577923906934484,1.5202364973328353,1.0,0.7322699808059855,2.3404255319148937
"DFL-MDD (LB=504, n1=0.1) λ=0.5",0.4081276111906722,2.450214032524284,1.0,0.516657182510863,4.468085106382978
"DFL-MDD (LB=504, n1=0.2) λ=0.5",0.4230514144099836,2.3637788834595157,0.9979318380355835,0.5333124235906499,3.8617021276595747
"DFL-MDD (LB=504, n1=0.3) λ=0.5",0.5631492721405265,1.7757281230232385,1.0,0.6605009880471737,2.9574468085106385
"DFL-MDD (LB=504, n1=0.4) λ=0.5",0.5880099731927347,1.7006514269992243,1.0,0.6831141719792752,2.765957446808511
"DFL-MDD (LB=252, n1=0.1) λ=0.7",0.38747015169806,2.580843958218645,0.9972683191299438,0.5012383863646933,4.329787234042553
