H,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
126,5,Benchmark,hist-MVO (LB=252),12.56,0.7117,2.88,35.32,38.37,0.3555,0.1718,0.4051
126,5,Benchmark,GMV (LB=504),6.36,0.4447,2.53,36.34,39.41,0.175,0.1137,0.0841
126,5,Benchmark,hist-MVO (LB=504),8.42,0.5282,2.78,34.71,37.7,0.2426,0.1423,0.2351
126,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",4.81,0.3562,2.59,30.47,32.79,0.1579,0.2791,0.6595
126,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",9.84,0.6143,2.67,27.47,29.48,0.3583,0.3903,0.8399
126,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",3.4,0.269,2.79,32.89,35.91,0.1033,0.5003,0.7064
126,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",4.38,0.314,2.88,34.73,37.46,0.1261,0.6592,0.8006
126,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",7.16,0.4565,2.82,39.12,42.32,0.1831,0.2413,0.8098
126,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",5.13,0.3623,2.75,33.02,36.49,0.1555,0.3893,0.8418
126,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",10.68,0.6375,2.68,32.62,35.51,0.3275,0.5063,0.8838
126,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",10.24,0.5876,2.77,34.03,36.66,0.301,0.5146,0.9301
126,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.1,0.5002,3.43,52.57,67.14,0.1732,0.8616,0.0418
126,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",9.34,0.5118,3.39,50.94,63.49,0.1834,0.8801,0.0395
126,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.63,0.4793,3.47,43.78,49.84,0.1971,0.8809,0.0545
126,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",7.43,0.4345,3.37,47.47,55.62,0.1564,0.8878,0.0383
126,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",2.44,0.2214,3.82,69.87,108.85,0.0349,0.85,0.0548
126,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",-3.56,-0.0037,4.26,81.81,152.84,-0.0435,0.9011,0.0479
126,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",-0.03,0.1213,3.88,74.82,125.15,-0.0004,0.818,0.0558
126,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",-0.19,0.1224,3.97,75.41,126.97,-0.0025,0.8404,0.0559
126,10,PTO-MVO,PTO-MVO (LB=252),6.35,0.443,2.54,37.76,40.96,0.1682,0.1223,0.1354
126,10,PTO-MVO,PTO-MVO (LB=504),5.83,0.4107,2.56,38.88,42.48,0.15,0.1188,0.0852
126,10,DFL-MVO,DFL-MVO (LB=252),5.45,0.3418,3.35,40.95,44.25,0.133,1.0,0.6882
126,10,DFL-MVO,DFL-MVO (LB=504),8.11,0.4731,2.92,40.95,44.25,0.1982,1.0,0.4301
126,10,Benchmark,EW,9.99,0.5497,3.14,42.39,47.67,0.2356,0.0333,0.0367
