Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,MDD_abs,Turnover,HHI
DFL-MDD,0.3,252.0,0.1,0.09632474708254457,0.6290209452355842,0.024554087172985354,0.32069295778131274,0.3003643975188067,0.3447451194614841,0.46638026691985374,0.4064558486839967
DFL-MDD,0.3,252.0,0.2,0.08138324633332505,0.528275518822737,0.025602570915740055,0.34890232651294384,0.23325509784750698,0.37626597210381585,0.5515557192285109,0.5872905890306446
DFL-MDD,0.3,252.0,0.3,0.06607487904192078,0.440451303143945,0.026164382526234913,0.36492587979649954,0.18106383427961031,0.3927850280432815,0.5570933344465933,0.6215289155347422
DFL-MDD,0.3,252.0,0.4,0.04901596667179464,0.35949506695464467,0.025915664736321856,0.3343489718156503,0.14660121845435314,0.3603999999936016,0.32407508742681024,0.8149439440164677
DFL-MDD,0.3,504.0,0.1,0.0724295669382482,0.4784411510679647,0.025783542225195057,0.37692716366668094,0.1921579920493136,0.4065721946602754,0.5364966082760735,0.3895375473665974
DFL-MDD,0.3,504.0,0.2,0.06233670130945579,0.43271634576914375,0.024696543764003574,0.34619185150728643,0.18006403391657344,0.37215347430760215,0.560857253781557,0.5269344053848878
DFL-MDD,0.3,504.0,0.3,0.0497178637070772,0.37323593255250825,0.024434292131622022,0.3340820288055455,0.14881933000093775,0.3636682142977701,0.4683772146549018,0.5886395313299827
DFL-MDD,0.3,504.0,0.4,0.09032313348980048,0.5539502033088772,0.02772086338568216,0.3540476125705967,0.25511578176869804,0.3843718831549793,0.7082920166875754,0.6224289188108716
EW,,,,0.11874921933835547,0.6531089470099436,0.03021483697509854,0.3873022602070385,0.3066060581320016,0.42740673193054013,0.03271951540940811,0.10000000149011612
GMV,,252.0,,0.07863347463698722,0.5241133842659275,0.025599058421061287,0.34810842113513635,0.22588788388969414,0.3783211376342458,0.07974990491813176,0.17923854006097673
hist-MVO,,252.0,,0.11318172175554575,0.6724255991841879,0.02769311438168591,0.3362990426635082,0.3365508293615253,0.3671303339094929,0.27007593876871644,0.2260606552058078
GMV,,504.0,,0.06378076518212583,0.43706378368469573,0.02613895916159621,0.3614555702316949,0.17645533896073726,0.39304008479711594,0.05312191108785792,0.18376231304508575
hist-MVO,,504.0,,0.07631436604351904,0.48869551298214325,0.027552498352509492,0.3361603406856902,0.22701775547095598,0.36451465738974687,0.14947871575919605,0.1978982168626278
DFL-MVO,,252.0,,0.12812796330410614,0.6693909389160357,0.030921000303286983,0.36325753363698876,0.35271935584101416,0.4427500957549434,0.7311827959093274,1.0
DFL-MVO,,504.0,,0.11803853306616907,0.6954086015058991,0.027114144074241488,0.27069361560510957,0.43605953822996274,0.29109999164941225,0.3870967746470035,1.0
PTO-MDD,,252.0,0.1,0.004110956143534628,0.16887181518558883,0.042487689667459735,0.7747392737463933,0.00530624467135211,1.1635000003107459,0.07579546186238444,0.713143602718425
PTO-MDD,,252.0,0.2,0.016039257182468347,0.20993934745762646,0.044274129771902565,0.7747392736830536,0.02070278056790463,1.1635000002033011,0.07066898440724936,0.8026470483610155
PTO-MDD,,252.0,0.3,-0.005644771186763764,0.1384572648031396,0.04229847271816427,0.774739273389166,-0.007286026899529188,1.163499998933533,0.08475818737905157,0.726321283805387
PTO-MDD,,252.0,0.4,-0.002251954107892029,0.15220596032916936,0.04382285397422147,0.7747392735837823,-0.0029067251195157395,1.163499999820811,0.08924488525799841,0.7347376227274249
PTO-MDD,,504.0,0.1,0.06038103161619035,0.3416099664700336,0.04576121566456075,0.7747392737454031,0.07793722824517504,1.1635000002756721,0.0815626053157835,0.7401560123143541
PTO-MDD,,504.0,0.2,0.02400034077084956,0.23852391988016544,0.0466994279771535,0.7747392735509665,0.030978603495531748,1.163499999725279,0.08846206504715202,0.8188428518908684
PTO-MDD,,504.0,0.3,0.029516171225220322,0.25452970532575786,0.04660365176241368,0.7747392729867425,0.03809819929177075,1.1634999982645358,0.09518945292700208,0.8231323508516961
PTO-MDD,,504.0,0.4,0.019396564197657673,0.2226183189486227,0.04509016256380819,0.7747392733777799,0.025036247498577312,1.1634999992120636,0.08820573247164605,0.7292305238206224
PTO-MVO,,252.0,,0.07511487441480402,0.5028743145946836,0.025655103723753413,0.35967878457241986,0.2088387684116967,0.3912777072176338,0.08029541064743953,0.18587238295080472
PTO-MVO,,504.0,,0.058092029484033914,0.40490067100999916,0.026291282141249924,0.3724054953630574,0.15599133254411557,0.40520367802341484,0.0543828499852245,0.18504625920509057
