tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,MaxW,Turnover
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.44,0.5433,2.61,37.13,40.62,0.2272,0.3558,0.6,0.581
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.5,0.4834,2.61,37.83,40.75,0.1982,0.4297,0.6,0.4851
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",7.2,0.4815,2.61,30.78,33.44,0.2341,0.4593,0.6,0.5326
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",10.53,0.6292,2.73,37.02,40.25,0.2843,0.4721,0.6,0.6418
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.27,0.6028,2.46,33.96,36.52,0.2729,0.3458,0.6,0.5455
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",10.54,0.6455,2.57,34.48,37.34,0.3056,0.4309,0.6,0.6196
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",13.96,0.8147,2.66,31.81,34.57,0.4389,0.4612,0.6,0.4485
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",12.0,0.7267,2.54,26.1,28.04,0.4596,0.4655,0.6,0.6459
0,DFL-MVO,DFL-MVO (LB=252),9.4,0.5658,2.74,32.53,34.96,0.2888,0.52,0.6,0.4701
0,DFL-MVO,DFL-MVO (LB=504),10.0,0.6421,2.48,29.55,31.74,0.3383,0.52,0.6,0.3891
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",4.21,0.289,3.64,64.81,83.75,0.065,0.5111,0.6,0.0835
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",7.72,0.4119,3.76,64.96,83.75,0.1189,0.4966,0.6,0.0805
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",3.17,0.2499,3.64,64.78,83.33,0.049,0.4924,0.6,0.0848
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",5.46,0.332,3.78,65.33,84.49,0.0835,0.5008,0.6,0.0882
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",11.84,0.546,3.77,63.79,80.85,0.1857,0.5056,0.6,0.1027
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",8.22,0.4241,3.87,63.79,80.85,0.1289,0.4853,0.6,0.1025
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",6.69,0.3732,3.81,64.0,81.08,0.1045,0.4483,0.6,0.1047
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",8.33,0.4315,3.74,63.79,80.85,0.1306,0.4734,0.6,0.0996
0,PTO-MVO,PTO-MVO (LB=252),7.52,0.503,2.57,36.02,39.18,0.2086,0.1865,0.3826,0.0803
0,PTO-MVO,PTO-MVO (LB=504),5.72,0.4001,2.63,37.39,40.7,0.153,0.186,0.3098,0.0546
0,Benchmark,EW,11.9,0.6541,3.02,38.73,42.74,0.3072,0.1,0.1,0.0327
0,Benchmark,GMV (LB=252),7.91,0.5268,2.56,34.8,37.82,0.2274,0.1792,0.3622,0.0798
0,Benchmark,hist-MVO (LB=252),11.5,0.6811,2.77,33.62,36.7,0.342,0.2261,0.4886,0.2701
0,Benchmark,GMV (LB=504),6.41,0.4388,2.61,36.15,39.31,0.1774,0.1838,0.2967,0.0531
0,Benchmark,hist-MVO (LB=504),7.73,0.4934,2.76,33.61,36.45,0.2299,0.1979,0.4077,0.1495
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.06,0.524,2.61,37.2,40.72,0.2167,0.3558,0.6,0.581
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.19,0.4679,2.61,37.83,40.75,0.19,0.4297,0.6,0.4851
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.87,0.4637,2.61,30.8,33.46,0.2229,0.4593,0.6,0.5326
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",10.11,0.6088,2.73,37.05,40.28,0.2728,0.4721,0.6,0.6418
5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",8.91,0.5839,2.46,33.97,36.53,0.2624,0.3458,0.6,0.5455
5,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",10.13,0.6251,2.57,34.48,37.34,0.2938,0.4309,0.6,0.6196
5,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",13.66,0.7999,2.66,31.81,34.57,0.4294,0.4612,0.6,0.4485
5,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",11.57,0.705,2.54,26.13,28.07,0.4426,0.4655,0.6,0.6459
5,DFL-MVO,DFL-MVO (LB=252),9.09,0.5511,2.74,32.55,34.97,0.2793,0.52,0.6,0.4701
5,DFL-MVO,DFL-MVO (LB=504),9.74,0.6286,2.49,29.57,31.75,0.3296,0.52,0.6,0.3891
5,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",4.16,0.2871,3.64,64.83,83.79,0.0642,0.5111,0.6,0.0835
5,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",7.67,0.4101,3.76,64.98,83.8,0.1181,0.4966,0.6,0.0805
5,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",3.12,0.248,3.64,64.8,83.39,0.0481,0.4924,0.6,0.0848
5,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",5.4,0.33,3.78,65.34,84.5,0.0827,0.5008,0.6,0.0882
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",11.78,0.5438,3.77,63.81,80.92,0.1845,0.5056,0.6,0.1027
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",8.16,0.4219,3.87,63.81,80.92,0.1278,0.4853,0.6,0.1025
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",6.62,0.371,3.81,64.02,81.14,0.1034,0.4483,0.6,0.1047
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",8.27,0.4293,3.74,63.81,80.92,0.1296,0.4734,0.6,0.0996
5,PTO-MVO,PTO-MVO (LB=252),7.47,0.5003,2.57,36.03,39.19,0.2072,0.1865,0.3826,0.0803
5,PTO-MVO,PTO-MVO (LB=504),5.69,0.3983,2.63,37.39,40.7,0.1521,0.186,0.3098,0.0546
5,Benchmark,EW,11.87,0.6531,3.02,38.73,42.74,0.3066,0.1,0.1,0.0327
5,Benchmark,GMV (LB=252),7.86,0.5241,2.56,34.81,37.83,0.2259,0.1792,0.3622,0.0798
5,Benchmark,hist-MVO (LB=252),11.32,0.6725,2.77,33.63,36.71,0.3366,0.2261,0.4886,0.2701
5,Benchmark,GMV (LB=504),6.38,0.4371,2.61,36.15,39.31,0.1764,0.1838,0.2967,0.0531
5,Benchmark,hist-MVO (LB=504),7.63,0.4887,2.76,33.62,36.45,0.227,0.1979,0.4077,0.1495
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",7.69,0.5046,2.61,37.27,40.82,0.2063,0.3558,0.6,0.581
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",6.88,0.4523,2.61,37.83,40.75,0.1818,0.4297,0.6,0.4851
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.53,0.4459,2.62,30.83,33.48,0.2118,0.4593,0.6,0.5326
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",9.69,0.5884,2.73,37.07,40.3,0.2613,0.4721,0.6,0.6418
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",8.56,0.565,2.46,33.98,36.53,0.252,0.3458,0.6,0.5455
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",9.72,0.6046,2.57,34.49,37.35,0.282,0.4309,0.6,0.6196
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",13.36,0.7851,2.66,31.81,34.57,0.4199,0.4612,0.6,0.4485
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",11.14,0.6833,2.54,26.16,28.1,0.4258,0.4655,0.6,0.6459
10,DFL-MVO,DFL-MVO (LB=252),8.79,0.5364,2.74,32.56,34.98,0.2699,0.52,0.6,0.4701
10,DFL-MVO,DFL-MVO (LB=504),9.49,0.615,2.49,29.62,31.78,0.3205,0.52,0.6,0.3891
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",4.11,0.2852,3.64,64.84,83.83,0.0634,0.5111,0.6,0.0835
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",7.62,0.4083,3.76,65.0,83.86,0.1172,0.4966,0.6,0.0805
