Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,HHI
DFL-MDD,0.5,252,0.1,0.0754526814775458,0.49028633651610226,0.02674418780408815,0.37168983526714183,0.20299904462820825,0.2971512962211954
DFL-MDD,0.5,252,0.2,0.10604011118554313,0.6556380482575486,0.025414533921695775,0.3692312312994446,0.2871916083144819,0.33357782503391836
DFL-MDD,0.5,252,0.3,0.0866774008965947,0.5419771461598847,0.027098275539163722,0.39901044427921056,0.21723090740506643,0.35233178639665563
DFL-MDD,0.5,252,0.4,0.09008001051510806,0.5688693377175386,0.02604583095836799,0.3697878953148075,0.24359913245419054,0.3993734749073678
DFL-MDD,0.5,504,0.1,0.07323716143419445,0.480915015213688,0.02594624388792528,0.3695544130781562,0.1981769363930935,0.2849965194596889
DFL-MDD,0.5,504,0.2,0.06408164128571503,0.4295722654611572,0.02665048469460331,0.3858220332890898,0.16609119163780528,0.3168803519232476
DFL-MDD,0.5,504,0.3,0.08534602840131988,0.5446990523743723,0.02594708000575453,0.3570230417889908,0.23904907635585193,0.3449960556277569
DFL-MDD,0.5,504,0.4,0.09185079726867795,0.57509957422181,0.025529138182148085,0.3579128178757537,0.25662896844029837,0.4347094023956897
PTO-MDD,,252,0.1,0.09106260944901035,0.5002899652150185,0.034303598850942425,0.5256953638885948,0.17322315486690498,0.861633098339695
PTO-MDD,,252,0.2,0.09341644131457416,0.511837182383446,0.0339130629118646,0.5093364171062446,0.18340813293298686,0.8801015371214577
PTO-MDD,,252,0.3,0.08629404359355441,0.47934781309568836,0.03472858027058566,0.43776404587580886,0.19712455690873043,0.8808997470954941
PTO-MDD,,252,0.4,0.07426700269959796,0.4345009799043171,0.033705757989178416,0.4746477497074672,0.1564676177854485,0.887812265475771
PTO-MDD,,504,0.1,0.02439218337499338,0.22158235631591952,0.03824348711255299,0.6986731965065766,0.03491214990565702,0.8499683797291809
PTO-MDD,,504,0.2,-0.03560667818419194,-0.003670006295580033,0.04263939867710167,0.8181150766228206,-0.04352282361892662,0.9010739216308322
PTO-MDD,,504,0.3,0.000230881087811996,0.1234801680259606,0.03880425394857933,0.7471472822577786,0.00030901683411522655,0.8173732064302818
PTO-MDD,,504,0.4,-0.0019258527027410377,0.12215338956257504,0.03973615122307186,0.7542054286365536,-0.002553485601352976,0.8404975283827593
PTO-MVO,,252,,0.06348586794175515,0.4428658077762633,0.025357447861835917,0.37753596941878925,0.16815846188821373,0.12236368545398549
PTO-MVO,,504,,0.05836492852070019,0.4109583850522957,0.02564107955084814,0.3887947594164142,0.15011758027113048,0.1188185177659198
