Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,HHI
DFL-MDD,0.7,252,0.1,0.0575072810898396,0.40661440378141384,0.02549131383600587,0.34093873794442603,1.612020799606931,0.38747015088162523
DFL-MDD,0.7,252,0.2,0.03182404172431097,0.2598489657399618,0.02794220233319877,0.41872227502903187,0.6642526414694834,0.4347955269065309
DFL-MDD,0.7,252,0.3,0.10593829720939318,0.6012694559487655,0.029125694502027368,0.3305578364341586,3.6323117655474784,0.48518417537846464
DFL-MDD,0.7,252,0.4,0.09434358861711001,0.5819996871428318,0.026641386638565027,0.32586940678792153,3.149424325825841,0.5823920675097628
DFL-MDD,0.7,504,0.1,0.06894837956389388,0.4775256233885562,0.024549629674165886,0.30674093686187015,2.2360374194755384,0.3497631591051183
DFL-MDD,0.7,504,0.2,0.05303972357514497,0.3720390123652693,0.02734819644670634,0.3704836658899134,1.3470334122644982,0.45255192353370344
DFL-MDD,0.7,504,0.3,0.10649936936622928,0.6569446445904745,0.02519853950068936,0.3542184760836822,3.4144180649238134,0.5764852362744352
DFL-MDD,0.7,504,0.4,0.07683121595479347,0.47430467640545315,0.0295095456115774,0.3545906197729864,2.2159645984770266,0.5941647197654907
PTO-MDD,,252,0.1,0.0037037113277240685,0.16757450759029072,0.042487789830204174,0.7747392736465932,0.03792526760477302,0.7131426291518909
PTO-MDD,,252,0.2,0.01563832793078679,0.20871626474782573,0.04427414525999935,0.7747392736462855,0.16682822116789173,0.8026476663300557
PTO-MDD,,252,0.3,-0.006126489702868332,0.13691738164177672,0.042298744495306,0.7747392736387476,-0.06066319830046374,0.7263397357731498
PTO-MDD,,252,0.4,-0.0027510365070305687,0.15064362299186213,0.043823176433076046,0.7747392736049141,-0.027555478469470956,0.7347378310972477
PTO-MDD,,504,0.1,0.06003692851097431,0.34064356667547946,0.045761210766576854,0.7747392736473071,0.747187070875617,0.7401787858950357
PTO-MDD,,504,0.2,0.023521461345859196,0.23714558703242125,0.0467001304210118,0.7747392736468196,0.2578359606173181,0.8188460470939936
PTO-MDD,,504,0.3,0.028961229720023463,0.2529419813937053,0.04660343939909291,0.774739273642074,0.32349028632303944,0.8230821805076077
PTO-MDD,,504,0.4,0.018951077478815526,0.2212995036395656,0.045090568323717245,0.7747392736351425,0.20448764215886558,0.729261329250751
PTO-MVO,,252,,0.07457394984341459,0.5000143266883393,0.025656158499317842,0.3597050352842234,2.1035197755227673,0.18589116531793504
PTO-MVO,,504,,0.057775640323207034,0.4032426219292768,0.026291765165911904,0.37242524297600277,1.4840115308148614,0.18506993558849497
