lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
0.3,5,Benchmark,EW,11.87,0.6531,3.02,38.73,42.74,0.3066,0.1,0.0327
0.3,5,Benchmark,GMV (LB=252),7.86,0.5241,2.56,34.81,37.83,0.2259,0.1792,0.0797
0.3,5,Benchmark,hist-MVO (LB=252),11.32,0.6724,2.77,33.63,36.71,0.3366,0.2261,0.2701
0.3,5,Benchmark,GMV (LB=504),6.38,0.4371,2.61,36.15,39.3,0.1765,0.1838,0.0531
0.3,5,Benchmark,hist-MVO (LB=504),7.63,0.4887,2.76,33.62,36.45,0.227,0.1979,0.1495
0.3,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.33,0.6126,2.46,32.08,34.49,0.2908,0.4065,0.4664
0.3,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.78,0.5099,2.56,34.9,37.64,0.2231,0.5873,0.5516
0.3,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.26,0.4225,2.62,36.52,39.31,0.1713,0.6215,0.5571
0.3,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",4.7,0.3486,2.59,33.43,36.04,0.1406,0.8149,0.3241
0.3,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",6.9,0.4608,2.58,37.72,40.69,0.183,0.3895,0.5365
0.3,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",5.88,0.4137,2.47,34.64,37.23,0.1698,0.5269,0.5609
0.3,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",4.68,0.3567,2.44,33.48,36.46,0.1398,0.5886,0.4684
0.3,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",8.57,0.5316,2.77,35.44,38.49,0.2419,0.6224,0.7083
0.3,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.37,0.1674,4.25,77.47,116.35,0.0047,0.7131,0.0758
0.3,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.56,0.2086,4.43,77.47,116.35,0.0202,0.8026,0.0707
0.3,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.61,0.1369,4.23,77.47,116.35,-0.0079,0.7263,0.0848
0.3,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.28,0.1506,4.38,77.47,116.35,-0.0036,0.7347,0.0892
0.3,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",5.99,0.3402,4.58,77.47,116.35,0.0773,0.7402,0.0816
0.3,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.35,0.237,4.67,77.47,116.35,0.0303,0.8188,0.0885
