tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,MaxW,Turnover
5,Benchmark,GMV (LB=252),7.88,0.5251,2.56,34.8,37.82,0.2265,0.1772,0.3,0.0781
5,Benchmark,hist-MVO (LB=252),11.74,0.6937,2.76,33.66,36.76,0.3488,0.2023,0.3,0.2447
5,Benchmark,GMV (LB=504),6.38,0.4371,2.61,36.14,39.3,0.1765,0.1837,0.2961,0.0531
5,Benchmark,hist-MVO (LB=504),7.81,0.5004,2.74,32.87,35.68,0.2375,0.1947,0.3,0.1435
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.96,0.5816,2.54,33.64,36.58,0.2664,0.2605,0.3,0.3041
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",8.38,0.5403,2.59,34.15,36.92,0.2453,0.2675,0.3,0.2979
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.46,0.5462,2.62,30.72,33.11,0.2754,0.2736,0.3,0.2892
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",7.09,0.4634,2.68,37.52,40.66,0.189,0.2788,0.3,0.2442
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",8.87,0.5638,2.62,34.58,38.05,0.2564,0.2515,0.3,0.3566
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",9.43,0.5992,2.51,33.76,36.59,0.2793,0.2677,0.3,0.3583
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",13.23,0.7915,2.53,35.26,38.09,0.3753,0.2742,0.3,0.3527
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",10.35,0.6542,2.57,30.2,32.74,0.3426,0.2768,0.3,0.2784
10,DFL-MVO,DFL-MVO (LB=252),9.1,0.5693,2.66,31.49,33.99,0.2889,0.28,0.3,0.2985
10,DFL-MVO,DFL-MVO (LB=504),10.91,0.6378,2.75,35.02,37.98,0.3114,0.28,0.3,0.2746
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",7.25,0.4298,3.14,49.97,58.16,0.145,0.2788,0.3,0.0618
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",8.86,0.4997,3.1,49.97,58.16,0.1774,0.2787,0.3,0.0574
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.58,0.4864,3.12,49.97,58.16,0.1718,0.2766,0.3,0.0631
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",8.79,0.4972,3.1,49.97,58.16,0.1759,0.2774,0.3,0.0609
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.86,0.568,3.18,50.37,57.95,0.2155,0.2736,0.3,0.0677
