x_max,lam,group,label,Ann.Ret(%),Sharpe,MDD(%),MDD_abs(%),Calmar,HHI,MaxW,nActive,Turnover
0.2,0.5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.14,0.5748,42.96,47.76,0.236,0.1965,0.2,5.38,0.0636
0.2,0.5,PTO-MVO,PTO-MVO (LB=252),7.61,0.5047,35.63,38.78,0.2136,0.1522,0.2,8.39,0.0683
0.2,0.5,PTO-MVO,PTO-MVO (LB=504),6.12,0.4219,36.88,40.17,0.1661,0.1571,0.2,8.14,0.0471
0.2,0.5,Benchmark,EW,11.9,0.6541,38.73,42.74,0.3072,0.1,0.1,10.0,0.0327
0.2,0.5,Benchmark,GMV (LB=252),8.03,0.53,34.48,37.5,0.2329,0.1502,0.2,8.69,0.0674
0.2,0.5,Benchmark,hist-MVO (LB=252),11.91,0.7045,32.81,35.85,0.3629,0.1628,0.2,7.76,0.2067
0.2,0.5,Benchmark,GMV (LB=504),6.86,0.4634,35.6,38.76,0.1928,0.1553,0.2,8.52,0.0456
0.2,0.5,Benchmark,hist-MVO (LB=504),8.88,0.555,32.05,34.81,0.2771,0.1607,0.2,7.97,0.1203
0.2,0.7,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.05,0.5554,37.39,41.25,0.2421,0.1858,0.2,6.11,0.19
0.2,0.7,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",6.74,0.4296,40.35,44.73,0.167,0.1913,0.2,5.63,0.2199
0.2,0.7,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.5,0.5156,38.57,42.33,0.2205,0.1958,0.2,5.28,0.2199
0.2,0.7,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",13.21,0.7532,35.26,38.78,0.3747,0.1976,0.2,5.17,0.2263
0.2,0.7,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",11.12,0.6629,36.46,39.53,0.3051,0.1808,0.2,6.31,0.2714
0.2,0.7,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",9.19,0.5807,33.31,36.02,0.2759,0.1906,0.2,5.78,0.2512
0.2,0.7,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",10.81,0.6674,31.41,34.11,0.3441,0.193,0.2,5.61,0.2747
0.2,0.7,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",9.6,0.5811,34.84,38.02,0.2757,0.1967,0.2,5.27,0.3128
0.2,0.7,DFL-MVO,DFL-MVO (LB=252),10.37,0.6269,35.14,38.34,0.295,0.2,0.2,5.0,0.1611
0.2,0.7,DFL-MVO,DFL-MVO (LB=504),9.95,0.5781,37.4,40.74,0.2659,0.2,0.2,5.0,0.2491
0.2,0.7,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.96,0.5773,42.26,47.06,0.2357,0.2,0.2,5.0,0.0464
0.2,0.7,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",10.19,0.5878,42.26,47.06,0.2412,0.2,0.2,5.02,0.0463
0.2,0.7,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",10.15,0.5857,42.26,47.06,0.2401,0.1987,0.2,5.11,0.0468
0.2,0.7,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",10.15,0.5865,42.26,47.06,0.2402,0.1981,0.2,5.15,0.0513
0.2,0.7,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.79,0.5999,42.63,47.42,0.253,0.1952,0.2,5.36,0.055
0.2,0.7,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",9.73,0.5548,42.96,47.76,0.2266,0.1973,0.2,5.16,0.0638
0.2,0.7,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.05,0.5687,42.96,47.76,0.2341,0.1921,0.2,5.54,0.0648
0.2,0.7,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.14,0.5748,42.96,47.76,0.236,0.1965,0.2,5.38,0.0636
0.2,0.7,PTO-MVO,PTO-MVO (LB=252),7.61,0.5047,35.63,38.78,0.2136,0.1522,0.2,8.39,0.0683
0.2,0.7,PTO-MVO,PTO-MVO (LB=504),6.12,0.4219,36.88,40.17,0.1661,0.1571,0.2,8.14,0.0471
0.2,0.7,Benchmark,EW,11.9,0.6541,38.73,42.74,0.3072,0.1,0.1,10.0,0.0327
0.2,0.7,Benchmark,GMV (LB=252),8.03,0.53,34.48,37.5,0.2329,0.1502,0.2,8.69,0.0674
0.2,0.7,Benchmark,hist-MVO (LB=252),11.91,0.7045,32.81,35.85,0.3629,0.1628,0.2,7.76,0.2067
0.2,0.7,Benchmark,GMV (LB=504),6.86,0.4634,35.6,38.76,0.1928,0.1553,0.2,8.52,0.0456
0.2,0.7,Benchmark,hist-MVO (LB=504),8.88,0.555,32.05,34.81,0.2771,0.1607,0.2,7.97,0.1203
0.2,1.0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",13.41,0.7536,38.37,42.26,0.3495,0.1823,0.2,6.21,0.2949
0.2,1.0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",14.19,0.788,36.7,39.99,0.3866,0.189,0.2,5.77,0.2072
0.2,1.0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",7.22,0.428,42.12,46.89,0.1715,0.1954,0.2,5.38,0.1897
0.2,1.0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",11.24,0.6399,37.59,41.23,0.2989,0.1959,0.2,5.34,0.2728
0.2,1.0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.51,0.5649,42.51,47.92,0.2238,0.1805,0.2,6.31,0.286
0.2,1.0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",10.9,0.6458,37.6,41.19,0.2899,0.1825,0.2,6.46,0.269
0.2,1.0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",11.75,0.6708,30.86,33.42,0.3808,0.1918,0.2,5.52,0.2678
0.2,1.0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",16.13,0.8429,33.05,36.31,0.4879,0.1965,0.2,5.31,0.3183
0.2,1.0,DFL-MVO,DFL-MVO (LB=252),9.05,0.5096,40.89,45.13,0.2212,0.2,0.2,5.0,0.2561
0.2,1.0,DFL-MVO,DFL-MVO (LB=504),14.32,0.7795,36.03,40.07,0.3974,0.2,0.2,5.0,0.2477
0.2,1.0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.96,0.5773,42.26,47.06,0.2357,0.2,0.2,5.0,0.0464
0.2,1.0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",10.19,0.5878,42.26,47.06,0.2412,0.2,0.2,5.02,0.0463
0.2,1.0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",10.15,0.5857,42.26,47.06,0.2401,0.1987,0.2,5.11,0.0468
0.2,1.0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",10.15,0.5865,42.26,47.06,0.2402,0.1981,0.2,5.15,0.0513
0.2,1.0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.79,0.5999,42.63,47.42,0.253,0.1952,0.2,5.36,0.055
0.2,1.0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",9.73,0.5548,42.96,47.76,0.2266,0.1973,0.2,5.16,0.0638
0.2,1.0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.05,0.5687,42.96,47.76,0.2341,0.1921,0.2,5.54,0.0648
0.2,1.0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.14,0.5748,42.96,47.76,0.236,0.1965,0.2,5.38,0.0636
0.2,1.0,PTO-MVO,PTO-MVO (LB=252),7.61,0.5047,35.63,38.78,0.2136,0.1522,0.2,8.39,0.0683
0.2,1.0,PTO-MVO,PTO-MVO (LB=504),6.12,0.4219,36.88,40.17,0.1661,0.1571,0.2,8.14,0.0471
0.2,1.0,Benchmark,EW,11.9,0.6541,38.73,42.74,0.3072,0.1,0.1,10.0,0.0327
0.2,1.0,Benchmark,GMV (LB=252),8.03,0.53,34.48,37.5,0.2329,0.1502,0.2,8.69,0.0674
0.2,1.0,Benchmark,hist-MVO (LB=252),11.91,0.7045,32.81,35.85,0.3629,0.1628,0.2,7.76,0.2067
0.2,1.0,Benchmark,GMV (LB=504),6.86,0.4634,35.6,38.76,0.1928,0.1553,0.2,8.52,0.0456
0.2,1.0,Benchmark,hist-MVO (LB=504),8.88,0.555,32.05,34.81,0.2771,0.1607,0.2,7.97,0.1203
0.3,0.3,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.05,0.5869,32.77,35.36,0.2763,0.2651,0.3,4.6,0.2727
0.3,0.3,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",9.53,0.589,37.32,40.63,0.2554,0.2689,0.3,4.46,0.3243
0.3,0.3,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.79,0.4523,34.21,37.26,0.1984,0.2744,0.3,4.17,0.3742
0.3,0.3,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",10.27,0.6351,36.11,39.88,0.2843,0.2795,0.3,4.03,0.2287
0.3,0.3,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",8.76,0.5651,32.53,34.96,0.2692,0.2598,0.3,4.83,0.3206
0.3,0.3,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",7.86,0.5187,33.76,36.59,0.233,0.272,0.3,4.36,0.3627
0.3,0.3,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",10.48,0.659,34.44,37.18,0.3043,0.2732,0.3,4.33,0.2799
0.3,0.3,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",8.83,0.5741,33.13,35.68,0.2666,0.2794,0.3,4.01,0.2497
0.3,0.3,DFL-MVO,DFL-MVO (LB=252),10.97,0.6669,35.87,38.91,0.3058,0.28,0.3,4.0,0.1726
0.3,0.3,DFL-MVO,DFL-MVO (LB=504),10.41,0.6249,35.84,39.15,0.2905,0.28,0.3,4.0,0.3142
0.3,0.3,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",7.32,0.4331,49.95,58.12,0.1466,0.2788,0.3,4.26,0.0618
0.3,0.3,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",8.94,0.5028,49.95,58.13,0.179,0.2787,0.3,4.04,0.0574
