H,lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
126,0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",5.6,0.3879,2.69,31.83,34.25,0.176,0.2863,0.7949
126,0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",8.39,0.5067,2.75,39.76,42.68,0.2109,0.4074,0.808
126,0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.02,0.485,2.81,39.09,41.99,0.2052,0.5838,0.7353
126,0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",7.02,0.4549,2.83,35.82,39.03,0.1961,0.691,0.7159
126,0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",6.0,0.4008,2.74,40.47,44.07,0.1483,0.2894,0.7366
126,0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",7.99,0.5016,2.69,32.08,34.57,0.2491,0.4072,0.8553
126,0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",1.36,0.1655,2.7,36.05,38.78,0.0378,0.5234,0.8398
126,0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",7.88,0.522,2.62,30.28,32.48,0.2602,0.5593,0.9945
126,0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.16,0.5024,3.43,52.46,66.89,0.1746,0.8616,0.0418
126,0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",9.39,0.5139,3.39,50.82,63.24,0.1848,0.8801,0.0395
126,0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.7,0.4821,3.47,43.65,49.6,0.1993,0.8809,0.0545
126,0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",7.47,0.4365,3.37,47.37,55.43,0.1578,0.8878,0.0383
126,0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",2.5,0.2241,3.82,69.82,108.67,0.0358,0.85,0.0548
126,0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",-3.51,-0.0016,4.26,81.79,152.71,-0.0429,0.9011,0.0479
126,0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",0.03,0.124,3.88,74.77,124.95,0.0004,0.818,0.0558
126,0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",-0.12,0.125,3.97,75.37,126.82,-0.0016,0.8404,0.0559
126,0.3,0,PTO-MVO,PTO-MVO (LB=252),6.52,0.4522,2.54,37.72,40.92,0.1729,0.1223,0.1354
126,0.3,0,PTO-MVO,PTO-MVO (LB=504),5.94,0.4164,2.56,38.86,42.46,0.1528,0.1188,0.0852
126,0.3,0,DFL-MVO,DFL-MVO (LB=252),11.06,0.6439,2.76,30.3,34.87,0.365,1.0,0.4946
126,0.3,0,DFL-MVO,DFL-MVO (LB=504),4.32,0.299,3.39,40.25,46.5,0.1073,1.0,0.5161
126,0.3,0,Benchmark,EW,10.03,0.5517,3.14,42.38,47.66,0.2368,0.0333,0.0367
126,0.3,0,Benchmark,GMV (LB=252),7.19,0.4961,2.5,35.43,38.36,0.2029,0.1123,0.1352
126,0.3,0,Benchmark,hist-MVO (LB=252),12.83,0.7242,2.88,35.3,38.35,0.3634,0.1718,0.4051
126,0.3,0,Benchmark,GMV (LB=504),6.41,0.4476,2.53,36.33,39.41,0.1765,0.1137,0.0841
126,0.3,0,Benchmark,hist-MVO (LB=504),8.57,0.5357,2.78,34.7,37.69,0.247,0.1423,0.2351
126,0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",5.1,0.3623,2.69,31.84,34.27,0.1603,0.2863,0.7949
126,0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.87,0.4825,2.75,39.8,42.71,0.1977,0.4074,0.808
126,0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",7.55,0.4632,2.81,39.12,42.01,0.193,0.5838,0.7353
126,0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",6.57,0.4323,2.83,35.91,39.15,0.1829,0.691,0.7159
126,0.3,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",5.54,0.3779,2.74,40.5,44.11,0.1368,0.2894,0.7366
