H,lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
252,1.0,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",-0.03,0.1173,3.49,52.04,61.14,-0.0005,0.387,0.9271
252,1.0,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",1.89,0.1964,3.32,48.98,55.45,0.0386,0.3732,0.7549
252,1.0,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",5.49,0.3621,2.96,45.39,51.81,0.1211,0.159,0.6144
252,1.0,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",8.06,0.4881,2.97,31.14,34.38,0.2588,0.2313,0.7977
252,1.0,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",1.12,0.1619,3.28,49.68,57.24,0.0226,0.3404,0.653
252,1.0,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",1.89,0.2032,3.68,62.62,78.93,0.0301,0.4468,0.9168
252,1.0,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-1.1,0.0822,3.89,71.91,115.4,-0.0153,0.8996,0.0243
252,1.0,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",3.87,0.2791,3.67,60.83,85.32,0.0636,0.9263,0.0251
252,1.0,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",3.43,0.2613,3.68,62.34,88.92,0.055,0.9015,0.0305
252,1.0,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.36,0.109,3.86,70.68,111.75,-0.0051,0.9377,0.0243
252,1.0,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",-9.83,-0.1366,5.12,87.94,183.73,-0.1118,0.9443,0.027
252,1.0,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",-9.01,-0.0832,5.39,88.33,186.66,-0.102,0.9628,0.0265
252,1.0,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",-9.29,-0.0966,5.34,88.33,186.29,-0.1052,0.9569,0.0268
252,1.0,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",-9.75,-0.1194,5.25,88.33,185.66,-0.1104,0.9496,0.0272
252,1.0,40,PTO-MVO,PTO-MVO (LB=252),4.96,0.3663,2.54,37.78,41.0,0.1313,0.1225,0.1347
252,1.0,40,PTO-MVO,PTO-MVO (LB=504),4.26,0.3244,2.59,39.31,43.05,0.1083,0.1216,0.0823
252,1.0,40,DFL-MVO,DFL-MVO (LB=252),-0.06,0.1643,4.65,69.99,89.56,-0.0009,1.0,0.6047
252,1.0,40,DFL-MVO,DFL-MVO (LB=504),-8.64,-0.0719,4.92,70.78,93.88,-0.1221,1.0,0.4419
252,1.0,40,Benchmark,EW,9.39,0.5241,3.15,42.41,47.7,0.2215,0.0333,0.0362
252,1.0,40,Benchmark,GMV (LB=252),5.72,0.4136,2.51,35.49,38.41,0.1612,0.1154,0.1335
252,1.0,40,Benchmark,hist-MVO (LB=252),8.57,0.5219,2.92,35.43,38.48,0.2419,0.1667,0.4157
252,1.0,40,Benchmark,GMV (LB=504),5.04,0.3713,2.55,36.37,39.44,0.1386,0.1171,0.0833
252,1.0,40,Benchmark,hist-MVO (LB=504),5.76,0.394,2.81,34.77,37.76,0.1656,0.1419,0.2349
