Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,HHI
DFL-MDD,0.7,252,0.1,0.02965831964831067,0.2545265319578126,0.025565396457195938,0.344869164117052,0.7460013492733981,0.38747015088162523
DFL-MDD,0.7,252,0.2,0.008661838277866707,0.14096016520517915,0.028045917315910822,0.4369291677965748,0.15996475908954577,0.4347955269065309
DFL-MDD,0.7,252,0.3,0.06864990392622228,0.4302008958943889,0.02926712063527002,0.3314530599462632,2.058210824470638,0.48518417537846464
DFL-MDD,0.7,252,0.4,0.06118365258799363,0.4143778838766043,0.026822390340837447,0.3508677868502072,1.6881116281314799,0.5823920675097628
DFL-MDD,0.7,504,0.1,0.0435000282450122,0.3355075372415184,0.024646777979756125,0.30871682711141624,1.2824397284852653,0.3497631591051183
DFL-MDD,0.7,504,0.2,0.01991941916536777,0.19935300871827863,0.02747954126910091,0.37711918900503855,0.4430330938685216,0.45255192353370344
DFL-MDD,0.7,504,0.3,0.07715717040467052,0.5061348296572189,0.02527725113734441,0.3588600295806853,2.2014123942088446,0.5764852362744352
DFL-MDD,0.7,504,0.4,0.04905521901694465,0.34156621132073045,0.029602164056859746,0.3665423766594133,1.2418545932083254,0.5941647197654907
PTO-MDD,,252,0.1,0.0011268809933060453,0.1593588517609002,0.04248893821253379,0.7747392736466135,0.011437777496959392,0.7131426291518909
PTO-MDD,,252,0.2,0.013154963314593315,0.2011356443557948,0.0442748632373797,0.7747392736463359,0.13914249977494275,0.8026476663300557
PTO-MDD,,252,0.3,-0.009065761153125629,0.1275125505596533,0.04231290572088266,0.7747392736391293,-0.0888735267204351,0.7263397357731498
PTO-MDD,,252,0.4,-0.005836367520075214,0.14097705963154955,0.04382860017169916,0.7747392736062408,-0.05784761894463521,0.7347378310972477
PTO-MDD,,504,0.1,0.057390482267493326,0.3332022201989586,0.04576174040320822,0.7747392736473193,0.7076705583408918,0.7401787858950357
PTO-MDD,,504,0.2,0.020465253484692525,0.22833782788483378,0.046703590764347686,0.7747392736468589,0.22198158145631128,0.8188460470939936
PTO-MDD,,504,0.3,0.025597662108027164,0.24331420863874764,0.046604691057281315,0.7747392736421077,0.28261403868598206,0.8230821805076077
PTO-MDD,,504,0.4,0.016012058629657933,0.21258509902764008,0.045091940588313076,0.7747392736352937,0.1710349669315112,0.729261329250751
PTO-MVO,,252,,0.07142967812279832,0.4832716208593756,0.025665617999639782,0.3599494358138989,1.9913438729022666,0.18589116531793504
PTO-MVO,,504,,0.05585108973740738,0.39312921990462574,0.026295865073217465,0.3725633599920192,1.424432223809021,0.18506993558849497
