x_max,LB,lam,comparison,n,DFL-MDD,other,difference,Cohen d,t,p (one-sided),significant(0.10),significant(0.05),significant(0.01),Wilcoxon p
0.3,252,0.3,PTO-MDD,91,3.74,4.5,-0.76,0.445,-4.25,0.0,+,+,+,0.0
0.3,252,0.3,PTO-MVO,91,3.74,3.63,0.1,0.18,1.72,0.9551,-,-,=,0.966
0.3,252,0.3,GMV,91,3.74,3.62,0.12,0.213,2.04,0.9777,-,-,=,0.9839
0.3,252,0.3,hist-MVO,91,3.74,3.83,-0.09,0.078,-0.74,0.2304,=,=,=,0.5063
0.3,252,0.3,EW,91,3.74,4.25,-0.51,0.461,-4.4,0.0,+,+,+,0.0
0.3,252,0.5,DFL-MVO,91,3.74,3.940000057220459,-0.2,0.244,-2.33,0.011,+,+,=,0.0027
0.3,252,0.5,PTO-MDD,91,3.74,4.5,-0.76,0.425,-4.05,0.0001,+,+,+,0.0
0.3,252,0.5,PTO-MVO,91,3.74,3.63,0.11,0.179,1.71,0.9548,-,-,=,0.9892
0.3,252,0.5,GMV,91,3.74,3.62,0.12,0.218,2.08,0.9797,-,-,=,0.9948
0.3,252,0.5,hist-MVO,91,3.74,3.83,-0.09,0.077,-0.73,0.2335,=,=,=,0.5567
0.3,252,0.5,EW,91,3.74,4.25,-0.51,0.446,-4.26,0.0,+,+,+,0.0
0.3,252,0.7,DFL-MVO,91,3.74,4.309999942779541,-0.57,0.472,-4.51,0.0,+,+,+,0.0
0.3,252,0.7,PTO-MDD,91,3.74,4.5,-0.76,0.396,-3.78,0.0001,+,+,+,0.0
0.3,252,0.7,PTO-MVO,91,3.74,3.63,0.11,0.141,1.35,0.9096,-,=,=,0.9887
0.3,252,0.7,GMV,91,3.74,3.62,0.12,0.173,1.65,0.949,-,=,=,0.9822
0.3,252,0.7,hist-MVO,91,3.74,3.83,-0.09,0.073,-0.7,0.2442,=,=,=,0.336
0.3,252,0.7,EW,91,3.74,4.25,-0.51,0.473,-4.52,0.0,+,+,+,0.0
0.3,252,1.0,DFL-MVO,91,4.19,4.599999904632568,-0.42,0.269,-2.56,0.006,+,+,+,0.0174
0.3,252,1.0,PTO-MDD,91,4.19,4.5,-0.31,0.172,-1.64,0.0519,+,=,=,0.0232
0.3,252,1.0,PTO-MVO,91,4.19,3.63,0.55,0.576,5.5,1.0,-,-,-,1.0
0.3,252,1.0,GMV,91,4.19,3.62,0.57,0.602,5.74,1.0,-,-,-,1.0
0.3,252,1.0,hist-MVO,91,4.19,3.83,0.36,0.299,2.86,0.9973,-,-,-,0.9975
0.3,252,1.0,EW,91,4.19,4.25,-0.06,0.079,-0.75,0.2274,=,=,=,0.6626
0.3,504,0.3,DFL-MVO,91,3.65,4.0,-0.35,0.439,-4.19,0.0,+,+,+,0.0002
0.3,504,0.3,PTO-MDD,91,3.65,4.47,-0.82,0.411,-3.92,0.0001,+,+,+,0.0
0.3,504,0.3,PTO-MVO,91,3.65,3.76,-0.11,0.18,-1.72,0.0443,+,+,=,0.2109
0.3,504,0.3,GMV,91,3.65,3.73,-0.08,0.151,-1.44,0.0761,+,=,=,0.2178
0.3,504,0.3,hist-MVO,91,3.65,3.93,-0.27,0.269,-2.57,0.006,+,+,+,0.0168
0.3,504,0.3,EW,91,3.65,4.25,-0.6,0.502,-4.79,0.0,+,+,+,0.0
0.3,504,0.5,DFL-MVO,91,3.67,3.799999952316284,-0.13,0.131,-1.25,0.1065,=,=,=,0.6938
0.3,504,0.5,PTO-MDD,91,3.67,4.47,-0.8,0.4,-3.82,0.0001,+,+,+,0.0
0.3,504,0.5,PTO-MVO,91,3.67,3.76,-0.09,0.124,-1.19,0.1191,=,=,=,0.5016
0.3,504,0.5,GMV,91,3.67,3.73,-0.06,0.097,-0.93,0.1786,=,=,=,0.6106
0.3,504,0.5,hist-MVO,91,3.67,3.93,-0.26,0.238,-2.27,0.0126,+,+,=,0.0788
0.3,504,0.5,EW,91,3.67,4.25,-0.58,0.521,-4.97,0.0,+,+,+,0.0
0.3,504,0.7,DFL-MVO,91,3.75,3.930000066757202,-0.18,0.17,-1.62,0.0541,+,=,=,0.1048
0.3,504,0.7,PTO-MDD,91,3.75,4.47,-0.72,0.36,-3.43,0.0005,+,+,+,0.0001
0.3,504,0.7,PTO-MVO,91,3.75,3.76,-0.01,0.009,-0.09,0.465,=,=,=,0.9869
0.3,504,0.7,GMV,91,3.75,3.73,0.02,0.03,0.29,0.6134,=,=,=,0.9867
0.3,504,0.7,hist-MVO,91,3.75,3.93,-0.18,0.164,-1.57,0.0602,+,=,=,0.1898
0.3,504,0.7,EW,91,3.75,4.25,-0.5,0.486,-4.64,0.0,+,+,+,0.0
0.3,504,1.0,DFL-MVO,91,4.11,4.079999923706055,0.03,0.031,0.3,0.6171,=,=,=,0.6783
0.3,504,1.0,PTO-MDD,91,4.11,4.47,-0.36,0.19,-1.82,0.0364,+,+,=,0.0359
0.3,504,1.0,PTO-MVO,91,4.11,3.76,0.35,0.349,3.32,0.9994,-,-,-,1.0
0.3,504,1.0,GMV,91,4.11,3.73,0.38,0.388,3.7,0.9998,-,-,-,1.0
0.3,504,1.0,hist-MVO,91,4.11,3.93,0.19,0.183,1.74,0.9576,-,-,=,0.998
0.3,504,1.0,EW,91,4.11,4.25,-0.14,0.157,-1.5,0.0686,+,=,=,0.1721
0.6,252,0.3,DFL-MVO,91,3.8,3.8299999237060547,-0.03,0.026,-0.24,0.4039,=,=,=,0.2344
0.6,252,0.3,PTO-MDD,91,3.8,5.19,-1.39,0.525,-5.01,0.0,+,+,+,0.0
0.6,252,0.3,PTO-MVO,91,3.8,3.63,0.17,0.203,1.94,0.9723,-,-,=,0.9747
0.6,252,0.3,GMV,91,3.8,3.61,0.19,0.214,2.04,0.9779,-,-,=,0.977
0.6,252,0.3,hist-MVO,91,3.8,3.84,-0.04,0.029,-0.28,0.3905,=,=,=,0.6046
0.6,252,0.3,EW,91,3.8,4.25,-0.45,0.372,-3.54,0.0003,+,+,+,0.0004
