H,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
252,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",7.54,0.5138,2.48,31.79,34.22,0.2373,0.4098,0.5253
252,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.14,0.4814,2.53,35.46,38.44,0.2014,0.4896,0.5126
252,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.27,0.5564,2.46,31.35,33.69,0.2639,0.5667,0.5062
252,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",4.75,0.3466,2.6,35.01,37.65,0.1356,0.5707,0.6316
252,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.3,0.59,2.56,33.79,36.4,0.2752,0.2932,0.3714
252,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",7.33,0.4677,2.68,38.51,41.45,0.1903,0.38,0.6266
252,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",3.39,0.2755,2.6,35.57,38.43,0.0952,0.5147,0.5443
252,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",7.75,0.5089,2.58,34.7,37.31,0.2233,0.5664,0.4657
252,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-2.15,0.1026,4.52,77.47,116.35,-0.0277,0.8541,0.069
252,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",6.32,0.3494,4.72,77.47,116.35,0.0816,0.9015,0.062
252,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",1.7,0.2184,4.6,77.47,116.35,0.022,0.8935,0.075
252,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",2.46,0.2398,4.52,77.47,116.35,0.0317,0.8904,0.0787
252,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",12.0,0.4914,5.01,77.47,116.35,0.1549,0.949,0.0545
252,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",7.53,0.3813,4.74,77.47,116.35,0.0972,0.8233,0.0625
252,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.13,0.4485,4.8,77.47,116.35,0.1308,0.8873,0.0732
252,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.89,0.4671,4.85,77.47,116.35,0.1405,0.835,0.0649
252,0,PTO-MVO,PTO-MVO (LB=252),6.78,0.4625,2.57,36.09,39.26,0.1879,0.1881,0.0807
