Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,MDD_abs,Turnover,HHI
DFL-MDD,0.5,252.0,0.1,0.05899845279402616,0.420176253257243,0.024872155428200038,0.30969706153307097,0.1905037538390581,0.33261605866926625,0.6479349004588815,0.43276258304398113
DFL-MDD,0.5,252.0,0.2,0.051881028209784796,0.3790740822558081,0.025126346219694787,0.3429529587712569,0.15127738912222277,0.3734720133361641,0.5727770217295057,0.5093144153026824
DFL-MDD,0.5,252.0,0.3,0.04713692238907674,0.34810130146819324,0.025932866301745138,0.3160725024485027,0.1491332590118097,0.34019521366984784,0.667031978591035,0.6190377121910136
DFL-MDD,0.5,252.0,0.4,0.0975425629290545,0.6341048594764312,0.024680707213095152,0.262930397528298,0.3709824493817159,0.2852872232138234,0.49000957462923606,0.6577923947826345
DFL-MDD,0.5,504.0,0.1,0.08905917870699942,0.5907490115491997,0.024751668795895403,0.3241480605855299,0.27474845451381424,0.3567172938911848,0.6921111635639023,0.40812761162189726
DFL-MDD,0.5,504.0,0.2,0.11361281134360768,0.715885224321859,0.025135646867058423,0.3056826752737095,0.37166912126999474,0.3286561501073001,0.712276337593599,0.4230514133864261
DFL-MDD,0.5,504.0,0.3,0.0862467993867937,0.5258678128483116,0.026969193893326453,0.42241742982831726,0.20417433864277207,0.4558491302415115,0.6704218779544715,0.5631492776756591
DFL-MDD,0.5,504.0,0.4,0.06698664901932139,0.4368238394340368,0.02768404753312483,0.374537699098595,0.17885155262782335,0.41004909143190615,0.7096608351184822,0.5880099710948924
EW,,,,0.11874921933835547,0.6531089470099436,0.03021483697509854,0.3873022602070385,0.3066060581320016,0.42740673193054013,0.03271951540940811,0.10000000149011612
GMV,,252.0,,0.07863347463698722,0.5241133842659275,0.025599058421061287,0.34810842113513635,0.22588788388969414,0.3783211376342458,0.07974990491813176,0.17923854006097673
hist-MVO,,252.0,,0.11318172175554575,0.6724255991841879,0.02769311438168591,0.3362990426635082,0.3365508293615253,0.3671303339094929,0.27007593876871644,0.2260606552058078
GMV,,504.0,,0.06378076518212583,0.43706378368469573,0.02613895916159621,0.3614555702316949,0.17645533896073726,0.39304008479711594,0.05312191108785792,0.18376231304508575
hist-MVO,,504.0,,0.07631436604351904,0.48869551298214325,0.027552498352509492,0.3361603406856902,0.22701775547095598,0.36451465738974687,0.14947871575919605,0.1978982168626278
DFL-MVO,,252.0,,0.09033470264262378,0.4986285232222897,0.030768584443125472,0.4094917412525425,0.22060201347223798,0.4425000008197626,0.30107526920484495,1.0
DFL-MVO,,504.0,,0.059430446967020156,0.3765123649555402,0.03063306831704347,0.42653069196085835,0.13933451466264118,0.471772695819454,0.23655914014581966,1.0
PTO-MDD,,252.0,0.1,0.004110883769842255,0.16887149487804481,0.04248765766813077,0.77473927364659,0.005306151255198774,1.1634999999965336,0.07579494596161132,0.7131426291518909
PTO-MDD,,252.0,0.2,0.016039508524571477,0.20993998426449875,0.04427403999744759,0.7747392736462769,0.020703104990420728,1.1634999999942786,0.07066845259997703,0.8026476663300557
PTO-MDD,,252.0,0.3,-0.005647170125969714,0.13845009728612925,0.042298623551046105,0.7747392736386854,-0.007289123344319405,1.1634999999663618,0.0847668954245375,0.7263397357731498
PTO-MDD,,252.0,0.4,-0.002251312470285205,0.15220801796759076,0.043822879164955655,0.774739273604688,-0.0029058969213213675,1.1634999998964901,0.08924442661295033,0.7347378310972477
PTO-MDD,,504.0,0.1,0.06040501926376929,0.3416772802531158,0.04576121609025312,0.7747392736473053,0.07796819047471115,1.1634999999985103,0.08153980560577577,0.7401787858950357
PTO-MDD,,504.0,0.2,0.02400168604275077,0.2385279672920807,0.046699388352062665,0.7747392736468128,0.03098033991057822,1.1634999999963265,0.08849101366655543,0.8188460470939936
PTO-MDD,,504.0,0.3,0.029500592838754613,0.2544841179507868,0.0466031511816036,0.7747392736420678,0.03807809135099582,1.1634999999846063,0.09508082508681315,0.8230821805076077
PTO-MDD,,504.0,0.4,0.019396474573453837,0.22261842589591418,0.045090239767514265,0.7747392736351187,0.02503613180720904,1.1634999999683597,0.08820868078259907,0.729261329250751
PTO-MVO,,252.0,,0.07511086234858078,0.5028656086811665,0.025654311289694615,0.3596613834581605,0.20883771731483278,0.39125855649965713,0.08033176269913218,0.18589116531793504
PTO-MVO,,504.0,,0.058075957536900535,0.40481745904111927,0.026290896191610992,0.3724022849612096,0.15594951982465663,0.4051987547794692,0.05439853746524963,0.18506993558849497
