Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,HHI
DFL-MDD,0.3,252,0.1,0.11666263046178682,0.7107848732005886,0.02564774185672544,0.3330960607026224,4.123429018170025,0.30887181517925666
DFL-MDD,0.3,252,0.2,0.07731386223090198,0.4886344257736253,0.027250721573009166,0.3399083924788481,2.3301561540982334,0.5095432261203198
DFL-MDD,0.3,252,0.3,0.07604978395333073,0.49760354261348483,0.0257799793887331,0.3056672209370916,2.5375121550691935,0.6018722120751726
DFL-MDD,0.3,252,0.4,0.06648879413424136,0.4033966418299791,0.028940381446451384,0.4911130428527825,1.335203007383034,0.6714187350044859
DFL-MDD,0.3,504,0.1,0.09530019112551069,0.6059739832416691,0.025331607476582564,0.31126231224001727,3.3419317352524627,0.28053971451330695
DFL-MDD,0.3,504,0.2,0.04186119703919022,0.31703146737087023,0.026948894102471758,0.31187820896186486,1.2146715846751364,0.40952173446087126
DFL-MDD,0.3,504,0.3,0.098226905393207,0.5391185638736843,0.029750066828050082,0.4760311095982224,2.275719891091087,0.5227352656582569
DFL-MDD,0.3,504,0.4,0.041088285562334015,0.3093380196433045,0.026928768953776494,0.3552861652394396,1.0437704807745318,0.706155742102481
PTO-MDD,,252,0.1,0.09157847158157773,0.502386264997007,0.03430273781441803,0.5246159642089107,1.8804983994054032,0.861633098339695
PTO-MDD,,252,0.2,0.09390156356250334,0.513819846217913,0.033912014837825605,0.5082212616103472,2.0068003630780193,0.8801015371214577
PTO-MDD,,252,0.3,0.08698808511529288,0.4821765315474911,0.034726637618363906,0.4364575386870906,2.112537336382052,0.8808997470954941
PTO-MDD,,252,0.4,0.07473280634358903,0.43646265929017125,0.03370394728281513,0.47380647543901017,1.601248506668893,0.887812265475771
PTO-MDD,,504,0.1,0.025027365739442198,0.2240742631771845,0.038242225892558726,0.6981948522867946,0.3060073149011228,0.8499683797291809
PTO-MDD,,504,0.2,-0.035078985932451845,-0.0015936698962692737,0.0426391181480549,0.8178705502522793,-0.2983420482466776,0.9010739216308322
PTO-MDD,,504,0.3,0.0008611143497563312,0.12606787187822027,0.03880364413655447,0.7466556682061078,0.009060769501390748,0.8173732064302818
PTO-MDD,,504,0.4,-0.0012751033190678829,0.1246739991447827,0.03973499311662225,0.7538463133809503,-0.013192214089580231,0.8404975283827593
PTO-MVO,,252,,0.06521134359353242,0.45221004530128645,0.025353903225834026,0.3772143515998132,1.6973467068562054,0.12236368545398549
PTO-MVO,,504,,0.05939666711602021,0.4164765611774668,0.025639236028516133,0.3886348949295266,1.4703270336462744,0.1188185177659198
