Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,HHI
DFL-MDD,0.7,252,0.1,0.06397011714481571,0.41939186626057967,0.02737837182830349,0.3431231708450543,0.18643485069406607,0.25044172368151074
DFL-MDD,0.7,252,0.2,0.0999209687312197,0.6158702000637928,0.025960752581691962,0.36051333440203986,0.27716303162332634,0.4046987964117781
DFL-MDD,0.7,252,0.3,0.08115180166912084,0.45046936774822316,0.03216540776096681,0.4865930468020175,0.1667755061149937,0.5118852406740189
DFL-MDD,0.7,252,0.4,0.08273221094501615,0.5196776692208546,0.0265562012744308,0.3242667501601704,0.2551362755467134,0.6062510435251479
DFL-MDD,0.7,504,0.1,0.1053081973436858,0.6075874466951294,0.027840713374734607,0.37861089000172105,0.278143603622687,0.2526484836447746
DFL-MDD,0.7,504,0.2,0.1085887464586488,0.6276248746419203,0.02801546148546777,0.3917174428014319,0.2772119251426163,0.39738967824489513
DFL-MDD,0.7,504,0.3,0.02719142089266513,0.23468236470159548,0.028185021021135084,0.35601068542565023,0.07637810323731424,0.41247092995871887
DFL-MDD,0.7,504,0.4,0.11530831005763953,0.6210550247282217,0.031607058745370814,0.35705454580745605,0.3229431227785739,0.6177270058938797
PTO-MDD,,252,0.1,0.09132055808801076,0.5013385638348282,0.03430316833268023,0.5251558581133201,0.1738922962769579,0.861633098339695
PTO-MDD,,252,0.2,0.09365903081813376,0.5128290426282174,0.0339125388748451,0.508778994591519,0.18408588364565004,0.8801015371214577
PTO-MDD,,252,0.3,0.08664111577758304,0.4807630771722182,0.034727608944474804,0.43711099378232016,0.19821307857772327,0.8808997470954941
PTO-MDD,,252,0.4,0.07449993887252204,0.4354822983556892,0.033704852635996776,0.47422719390128876,0.15709756803259067,0.887812265475771
PTO-MDD,,504,0.1,0.024709809815486983,0.22282860804397311,0.03824285650255585,0.6984340793227458,0.03537887188424366,0.8499683797291809
PTO-MDD,,504,0.2,-0.03534281501079839,-0.0026318182801678687,0.042639258412578304,0.8179928157617891,-0.04320675478495894,0.9010739216308322
PTO-MDD,,504,0.3,0.0005460014952107795,0.12477414580098466,0.0388039490425669,0.7469015498118292,0.000731022040689612,0.8173732064302818
PTO-MDD,,504,0.4,-0.001600459535660903,0.12341383102933208,0.03973557216984707,0.7540259174257,-0.0021225524195676647,0.8404975283827593
PTO-MVO,,252,,0.06434831469221947,0.44753903061069555,0.025355675543834978,0.37737517335772275,0.1705154955017951,0.12236368545398549
PTO-MVO,,504,,0.05888070187589656,0.4137180082367725,0.025640157789682136,0.3887148302745142,0.15147531628563515,0.1188185177659198
