H,lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
252,0.5,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",7.21,0.3729,4.74,77.47,116.35,0.093,0.8233,0.0625
252,0.5,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",9.75,0.4387,4.8,77.47,116.35,0.1259,0.8873,0.0732
252,0.5,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.54,0.4585,4.85,77.47,116.35,0.1361,0.835,0.0649
252,0.5,40,PTO-MVO,PTO-MVO (LB=252),6.37,0.4407,2.57,36.11,39.29,0.1764,0.1881,0.0807
252,0.5,40,PTO-MVO,PTO-MVO (LB=504),4.7,0.346,2.63,37.25,40.54,0.1263,0.19,0.0544
252,0.5,40,DFL-MVO,DFL-MVO (LB=252),12.49,0.6491,3.11,34.36,39.63,0.3636,1.0,0.2558
252,0.5,40,DFL-MVO,DFL-MVO (LB=504),2.99,0.2446,3.3,35.5,40.36,0.0842,1.0,0.1163
252,0.5,40,Benchmark,EW,11.51,0.6391,3.01,38.74,42.75,0.2972,0.1,0.0323
252,0.5,40,Benchmark,GMV (LB=252),6.88,0.4707,2.56,34.84,37.86,0.1974,0.1819,0.079
252,0.5,40,Benchmark,hist-MVO (LB=252),10.11,0.6118,2.79,33.71,36.79,0.3,0.2275,0.2711
252,0.5,40,Benchmark,GMV (LB=504),5.28,0.3784,2.62,36.17,39.32,0.1461,0.1876,0.0528
252,0.5,40,Benchmark,hist-MVO (LB=504),6.6,0.4377,2.76,33.66,36.5,0.1962,0.2009,0.1482
252,0.7,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",10.82,0.6778,2.53,32.47,34.99,0.3332,0.2985,0.5675
252,0.7,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",5.48,0.3711,2.8,42.98,47.0,0.1275,0.4129,0.4923
252,0.7,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.67,0.4393,2.76,33.83,36.54,0.1973,0.4556,0.5182
252,0.7,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",9.01,0.574,2.59,33.98,36.55,0.265,0.548,0.485
252,0.7,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",5.59,0.391,2.65,35.49,38.73,0.1575,0.2908,0.5172
252,0.7,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",9.67,0.5925,2.68,36.54,39.75,0.2647,0.3718,0.4905
252,0.7,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",5.21,0.3775,2.55,32.69,35.32,0.1595,0.4314,0.538
252,0.7,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",7.8,0.5027,2.64,36.07,39.27,0.2161,0.447,0.352
252,0.7,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-2.15,0.1026,4.52,77.47,116.35,-0.0277,0.8541,0.069
252,0.7,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",6.32,0.3494,4.72,77.47,116.35,0.0816,0.9015,0.062
252,0.7,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",1.7,0.2184,4.6,77.47,116.35,0.022,0.8935,0.075
252,0.7,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",2.46,0.2398,4.52,77.47,116.35,0.0317,0.8904,0.0787
252,0.7,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",12.0,0.4914,5.01,77.47,116.35,0.1549,0.949,0.0545
252,0.7,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",7.53,0.3813,4.74,77.47,116.35,0.0972,0.8233,0.0625
252,0.7,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.13,0.4485,4.8,77.47,116.35,0.1308,0.8873,0.0732
252,0.7,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.89,0.4671,4.85,77.47,116.35,0.1405,0.835,0.0649
252,0.7,0,PTO-MVO,PTO-MVO (LB=252),6.78,0.4625,2.57,36.09,39.26,0.1879,0.1881,0.0807
252,0.7,0,PTO-MVO,PTO-MVO (LB=504),4.97,0.3603,2.63,37.23,40.52,0.1336,0.19,0.0544
252,0.7,0,DFL-MVO,DFL-MVO (LB=252),9.77,0.5378,3.16,35.99,42.52,0.2715,1.0,0.1163
252,0.7,0,DFL-MVO,DFL-MVO (LB=504),15.12,0.7554,3.27,33.46,37.06,0.4519,1.0,0.2326
252,0.7,0,Benchmark,EW,11.68,0.6467,3.01,38.73,42.74,0.3017,0.1,0.0323
252,0.7,0,Benchmark,GMV (LB=252),7.28,0.4921,2.56,34.81,37.83,0.2091,0.1819,0.079
252,0.7,0,Benchmark,hist-MVO (LB=252),11.54,0.6808,2.79,33.62,36.7,0.3433,0.2275,0.2711
252,0.7,0,Benchmark,GMV (LB=504),5.55,0.3924,2.62,36.14,39.3,0.1535,0.1876,0.0528
252,0.7,0,Benchmark,hist-MVO (LB=504),7.36,0.4755,2.76,33.61,36.44,0.2189,0.2009,0.1482
252,0.7,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",10.45,0.6585,2.53,32.51,35.04,0.3214,0.2985,0.5675
252,0.7,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",5.17,0.3562,2.8,43.0,47.02,0.1203,0.4129,0.4923
252,0.7,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.35,0.4229,2.76,33.86,36.57,0.1875,0.4556,0.5182
252,0.7,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",8.69,0.5579,2.59,33.99,36.56,0.2558,0.548,0.485
252,0.7,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",5.27,0.3741,2.65,35.52,38.78,0.1482,0.2908,0.5172
252,0.7,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",9.35,0.5768,2.68,36.6,39.84,0.2555,0.3718,0.4905
252,0.7,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",4.88,0.3593,2.55,32.74,35.4,0.149,0.4314,0.538
252,0.7,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",7.57,0.4913,2.64,36.1,39.3,0.2097,0.447,0.352
252,0.7,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-2.19,0.1014,4.52,77.47,116.35,-0.0282,0.8541,0.069
252,0.7,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",6.28,0.3484,4.72,77.47,116.35,0.0811,0.9015,0.062
252,0.7,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",1.66,0.2171,4.6,77.47,116.35,0.0214,0.8935,0.075
252,0.7,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",2.41,0.2384,4.52,77.47,116.35,0.0311,0.8904,0.0787
252,0.7,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",11.97,0.4906,5.01,77.47,116.35,0.1544,0.949,0.0545
252,0.7,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",7.49,0.3803,4.74,77.47,116.35,0.0966,0.8233,0.0625
252,0.7,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.09,0.4473,4.8,77.47,116.35,0.1302,0.8873,0.0732
252,0.7,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.84,0.4661,4.85,77.47,116.35,0.14,0.835,0.0649
252,0.7,5,PTO-MVO,PTO-MVO (LB=252),6.73,0.4598,2.57,36.09,39.26,0.1864,0.1881,0.0807
252,0.7,5,PTO-MVO,PTO-MVO (LB=504),4.94,0.3585,2.63,37.23,40.52,0.1327,0.19,0.0544
252,0.7,5,DFL-MVO,DFL-MVO (LB=252),9.7,0.5346,3.16,36.06,42.62,0.2689,1.0,0.1163
