tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,MaxW,Turnover
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",11.53,0.7049,2.61,33.37,36.11,0.3456,0.1851,0.2,0.2156
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",9.33,0.5704,2.76,34.32,37.52,0.2719,0.192,0.2,0.2223
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.1,0.5111,2.72,38.78,42.7,0.209,0.1977,0.2,0.1917
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",10.15,0.6279,2.66,34.28,37.31,0.296,0.1988,0.2,0.1591
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.24,0.5807,2.69,33.47,36.19,0.2761,0.1862,0.2,0.2473
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",10.72,0.6563,2.63,33.15,35.8,0.3235,0.1945,0.2,0.2156
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",9.62,0.5892,2.74,33.65,36.51,0.2859,0.1961,0.2,0.2494
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",10.96,0.6756,2.57,33.31,36.02,0.3291,0.1981,0.2,0.1785
0,DFL-MVO,DFL-MVO (LB=252),9.24,0.5297,3.07,40.15,44.18,0.2301,0.2,0.2,0.2297
0,DFL-MVO,DFL-MVO (LB=504),8.64,0.5327,2.75,41.1,45.93,0.2102,0.2,0.2,0.2042
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.96,0.5773,2.85,42.26,47.06,0.2357,0.2,0.2,0.0464
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",10.19,0.5878,2.86,42.26,47.06,0.2412,0.2,0.2,0.0463
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",10.15,0.5857,2.85,42.26,47.06,0.2401,0.1987,0.2,0.0468
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",10.15,0.5865,2.85,42.26,47.06,0.2402,0.1981,0.2,0.0513
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.79,0.5999,2.99,42.63,47.42,0.253,0.1952,0.2,0.055
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",9.73,0.5548,2.93,42.96,47.76,0.2266,0.1973,0.2,0.0638
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.05,0.5687,2.95,42.96,47.76,0.2341,0.1921,0.2,0.0648
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.14,0.5748,2.92,42.96,47.76,0.236,0.1965,0.2,0.0636
0,PTO-MVO,PTO-MVO (LB=252),7.61,0.5047,2.61,35.63,38.78,0.2136,0.1522,0.2,0.0683
0,PTO-MVO,PTO-MVO (LB=504),6.12,0.4219,2.64,36.88,40.17,0.1661,0.1571,0.2,0.0471
0,Benchmark,EW,11.9,0.6541,3.02,38.73,42.74,0.3072,0.1,0.1,0.0327
