x_max,lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,MaxW,Turnover
0.2,1.0,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",14.05,0.7815,2.86,36.71,40.0,0.3827,0.189,0.2,0.2072
0.2,1.0,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",7.1,0.4229,3.32,42.12,46.88,0.1686,0.1954,0.2,0.1897
0.2,1.0,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",11.06,0.6317,2.87,37.62,41.27,0.2938,0.1959,0.2,0.2728
0.2,1.0,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.33,0.5562,2.83,42.54,47.97,0.2193,0.1805,0.2,0.286
0.2,1.0,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",10.72,0.6373,2.74,37.62,41.23,0.285,0.1825,0.2,0.269
0.2,1.0,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",11.57,0.6625,2.77,30.86,33.42,0.3751,0.1918,0.2,0.2678
0.2,1.0,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",15.91,0.8335,2.95,33.05,36.3,0.4813,0.1965,0.2,0.3183
0.2,1.0,5,DFL-MVO,DFL-MVO (LB=252),8.88,0.5025,3.21,40.89,45.13,0.2172,0.2,0.2,0.2561
0.2,1.0,5,DFL-MVO,DFL-MVO (LB=504),14.15,0.772,2.91,36.04,40.09,0.3926,0.2,0.2,0.2477
0.2,1.0,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.93,0.5759,2.85,42.27,47.07,0.235,0.2,0.2,0.0464
0.2,1.0,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",10.16,0.5864,2.86,42.27,47.07,0.2404,0.2,0.2,0.0463
0.2,1.0,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",10.12,0.5843,2.85,42.27,47.07,0.2393,0.1987,0.2,0.0468
0.2,1.0,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",10.12,0.5849,2.85,42.27,47.07,0.2393,0.1981,0.2,0.0513
0.2,1.0,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.75,0.5984,2.99,42.64,47.44,0.2521,0.1952,0.2,0.055
0.2,1.0,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",9.69,0.553,2.93,42.97,47.79,0.2255,0.1973,0.2,0.0638
0.2,1.0,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.01,0.5668,2.95,42.97,47.79,0.233,0.1921,0.2,0.0648
0.2,1.0,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.1,0.573,2.92,42.97,47.79,0.235,0.1965,0.2,0.0636
0.2,1.0,5,PTO-MVO,PTO-MVO (LB=252),7.57,0.5024,2.61,35.63,38.78,0.2124,0.1522,0.2,0.0683
0.2,1.0,5,PTO-MVO,PTO-MVO (LB=504),6.09,0.4204,2.64,36.88,40.17,0.1652,0.1571,0.2,0.0471
0.2,1.0,5,Benchmark,EW,11.87,0.6531,3.02,38.73,42.74,0.3066,0.1,0.1,0.0327
0.2,1.0,5,Benchmark,GMV (LB=252),7.99,0.5277,2.59,34.49,37.5,0.2316,0.1502,0.2,0.0674
0.2,1.0,5,Benchmark,hist-MVO (LB=252),11.77,0.6978,2.74,32.82,35.86,0.3587,0.1628,0.2,0.2067
0.2,1.0,5,Benchmark,GMV (LB=504),6.84,0.4619,2.62,35.6,38.76,0.192,0.1553,0.2,0.0456
0.2,1.0,5,Benchmark,hist-MVO (LB=504),8.8,0.5511,2.74,32.05,34.81,0.2746,0.1607,0.2,0.1203
0.2,1.0,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",13.01,0.7352,2.79,38.45,42.37,0.3385,0.1823,0.2,0.2949
0.2,1.0,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",13.91,0.7751,2.86,36.72,40.01,0.3787,0.189,0.2,0.2072
0.2,1.0,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.98,0.4177,3.32,42.12,46.88,0.1658,0.1954,0.2,0.1897
0.2,1.0,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",10.88,0.6235,2.87,37.66,41.31,0.2888,0.1959,0.2,0.2728
0.2,1.0,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.14,0.5474,2.83,42.57,48.01,0.2148,0.1805,0.2,0.286
0.2,1.0,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",10.55,0.6288,2.74,37.65,41.27,0.2801,0.1825,0.2,0.269
0.2,1.0,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",11.4,0.6543,2.77,30.86,33.42,0.3693,0.1918,0.2,0.2678
0.2,1.0,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",15.69,0.8241,2.95,33.05,36.3,0.4746,0.1965,0.2,0.3183
0.2,1.0,10,DFL-MVO,DFL-MVO (LB=252),8.71,0.4955,3.21,40.89,45.13,0.2131,0.2,0.2,0.2561
0.2,1.0,10,DFL-MVO,DFL-MVO (LB=504),13.98,0.7646,2.91,36.06,40.1,0.3878,0.2,0.2,0.2477
